row,1,2,3,4,5,6,7,8
A,1 is to 10,1 is to 10,1 is to 10,1 is to 10,1 is to 100,1 is to 100,1 is to 100,1 is to 100
B,Full,Full,Full,Full,1 is to 5,1 is to 5,1 is to 5,1 is to 5
C,NA,NA,NA,NA,NA,NA,NA,NA
D,NA,NA,NA,NA,NA,NA,NA,NA
E,NA,NA,NA,NA,NA,NA,NA,NA
F,NA,NA,NA,NA,NA,NA,NA,NA
