row,1,2,3,4,5,6,7,8,9,10,11,12
A,2824,3147,3328,3011,3112,3113,2980,3084,2894,3073,2870,2731
B,2919,2607,2764,2664,2784,2734,2750,2770,2667,2638,2683,2927
C,2610,3065,2861,2682,2517,2540,2666,2712,2613,2635,2686,2782
D,1528,1493,1467,1408,1383,1403,1461,1440,1546,1449,1463,1711
E,2653,2732,2707,2579,2616,2626,2577,2604,2527,2523,2584,2568
F,2714,2757,2607,2588,2541,2505,2633,2645,2520,2485,2555,2616
G,1726,1909,1733,1574,1563,1696,1633,1766,1726,1707,1672,1615
H,2047,2e3,2213,2,2,5,7,5,5,3,0,3
