row,1,2,3,4,5,6,7,8
A,NA,NA,NA,NA,NA,NA,NA,NA
B,NA,198,421,17,2224,1031,386,NA
C,NA,1564,2186,6,27,2010,403,NA
D,NA,113,1465,552,112,160,32,NA
E,NA,465,139,7,719,6,105,NA
F,NA,NA,NA,NA,NA,NA,NA,NA
