row,1,2,3,4,5,6,7,8,9,10,11,12
A,1752,1714,1789,1643,1716,1721,1735,1771,1707,1707,1594,1541
B,1718,1637,1622,1572,1643,1607,1728,1697,1662,1613,1504,1442
C,1622,1648,1566,1606,1600,1574,1608,1662,1611,1565,1551,1382
D,977,931,919,916,933,982,996,1038,1e3,901,944,956
E,1538,1467,1497,1476,1488,1516,1595,1569,1498,1460,1402,1391
F,1528,1569,1461,1508,1425,1479,1523,1556,1433,1459,1441,1400
G,953,982,999,962,857,904,928,918,865,870,789,822
H,1356,1514,1382,0,1,3,0,0,3,3,3,3
