row,1,2,3,4,5,6,7,8,9,10,11,12
A,295,297,265,235,269,268,257,248,268,263,322,284
B,376,255,287,258,269,289,254,311,295,279,256,244
C,286,275,294,238,329,219,267,317,334,281,301,298
D,642,625,825,731,769,891,866,742,738,846,851,743
E,285,363,394,320,395,360,346,371,339,338,385,367
F,331,329,358,326,359,289,322,366,319,341,288,351
G,667,777,787,732,768,679,577,751,591,722,628,642
H,376,347,383,4,4,4,5,7,4,6,8,8
