row,1,2,3,4,5,6,7,8,9,10,11,12
A,1870,1936,1884,1747,1939,1924,1991,1995,1831,1905,1824,1638
B,1949,1861,1737,1747,1789,1815,1912,1919,1975,1869,1706,1574
C,1850,1854,1828,1758,1758,1742,1794,1918,1783,1769,1710,1571
D,1128,1108,1070,995,1101,1049,1203,1138,1143,1044,1115,1091
E,1670,1580,1654,1562,1589,1650,1687,1725,1613,1588,1558,1501
F,1629,1696,1539,1584,1529,1548,1612,1677,1574,1554,1522,1533
G,1108,1138,1098,1069,1003,1034,1029,1041,961,1005,953,958
H,1445,1565,1449,3,0,4,5,2,3,0,3,0
