row,1,2,3,4,5,6,7,8
A,35,34,72,34,19,22,11,6
B,301,634,622,564,259,265,118,51
C,1,5,2,1,4,8,2,5
D,4,5,2,7,5,2,2,3
E,1,3,2,3,2,0,8,0
F,1,4,0,1,4,1,1,5
