Slice,Count,Total Area,Average Size,%Area,Mean,Perim.,Major,Minor,Angle
180822_133417_B7_Phase_10x.jpg,9,946,105.111,0.085,255,39.467,12.423,9.984,98.557
180822_133417_B7_Phase_10x_(2).jpg,21,1648,78.476,0.149,255,35.863,11.503,8.525,90.903
180822_133417_B7_Phase_10x_(3).jpg,12,1199,99.917,0.108,255,36.521,12.414,10.122,106.652
180822_133417_B7_Phase_10x_(4).jpg,65,8160,125.538,0.737,255,40.502,13.587,10.872,91.246
180822_133638_C7_Phase_10x.jpg,97,12109,124.835,1.094,255,41.650,13.501,10.843,97.630
180822_133638_C7_Phase_10x_(2).jpg,40,3609,90.225,0.326,255,34.932,12.104,9.244,97.633
180822_133639_C7_Phase_10x_(3).jpg,42,4534,107.952,0.410,255,41.329,13.003,9.955,93.151
180822_133639_C7_Phase_10x_(4).jpg,40,4147,103.675,0.375,255,39.176,12.702,9.622,102.551
180822_133902_C6_Phase_10x.jpg,230,27519,119.648,2.487,255,40.267,13.699,10.543,92.756
180822_133902_C6_Phase_10x_(2).jpg,106,11599,109.425,1.048,255,38.348,12.817,10.221,81.857
180822_133902_C6_Phase_10x_(3).jpg,68,7027,103.338,0.635,255,39.389,12.422,9.813,76.313
180822_133902_C6_Phase_10x_(4).jpg,77,6952,90.286,0.628,255,36.302,11.665,9.345,93.955
180822_134030_C5_Phase_10x.jpg,2,192,96.000,0.017,255,35.385,12.025,10.042,28.613
180822_134030_C5_Phase_10x_(2).jpg,0,0,NaN,0.000,NaN,NaN,NaN,NaN,NaN
180822_134030_C5_Phase_10x_(3).jpg,1,90,90.000,0.008,255,40.284,13.805,8.301,8.770
180822_134030_C5_Phase_10x_(4).jpg,1,59,59.000,0.005,255,28.385,10.878,6.905,65.298
180822_134611_C4_Phase_10x.jpg,1,34,34.000,0.003,255,21.556,6.847,6.323,113.359
180822_134611_C4_Phase_10x_(2).jpg,0,0,NaN,0.000,NaN,NaN,NaN,NaN,NaN
180822_134611_C4_Phase_10x_(3).jpg,0,0,NaN,0.000,NaN,NaN,NaN,NaN,NaN
180822_134611_C4_Phase_10x_(4).jpg,1,42,42.000,0.004,255,26.385,10.693,5.001,147.527
180822_134819_C3_Phase_10x.jpg,257,28471,110.782,2.573,255,38.984,13.265,10.103,91.700
180822_134819_C3_Phase_10x_(2).jpg,79,7492,94.835,0.677,255,35.666,12.029,9.675,97.206
180822_134819_C3_Phase_10x_(3).jpg,57,6676,117.123,0.603,255,41.427,13.083,10.524,85.188
180822_134819_C3_Phase_10x_(4).jpg,59,5302,89.864,0.479,255,35.628,11.441,9.438,90.119
180822_134935_C2_Phase_10x.jpg,100,9750,97.500,0.881,255,36.062,12.269,9.796,81.349
