well,RFU,plate,light,date,population_density,dilution,percent_of_stock,ml_of_full_concentration_stock,ml_of_media,ml_of_secondary_stock,which_stock,ml_of_media_1,total_volume_required,light_photons
B2,447,plate1,50,2018-08-23,5,1 in 10,0.1,1.5,13.5,NA,NA,NA,13.2,350
B3,831,plate1,50,2018-08-23,4,1 in 5,0.2,3,12,NA,NA,NA,13.2,350
B4,156,plate1,50,2018-08-23,7,1 in 100,0.01,0.15,14.85,1.5,1 in 10,13.5,13.2,350
B5,946,plate1,50,2018-08-23,1,1 in 1,1,15,0,NA,NA,NA,13.2,350
B6,1070,plate1,50,2018-08-23,2,1 in 1.5,0.6666666666666666,10,5,NA,NA,NA,13.2,350
B7,767,plate1,50,2018-08-23,4,1 in 5,0.2,3,12,NA,NA,NA,13.2,350
C2,1208,plate1,50,2018-08-23,2,1 in 1.5,0.6666666666666666,10,5,NA,NA,NA,13.2,350
C3,1330,plate1,50,2018-08-23,1,1 in 1,1,15,0,NA,NA,NA,13.2,350
C4,46,plate1,50,2018-08-23,8,1 in 1000,0.001,0.015,14.985,1.5,1 in 100,13.5,13.2,350
C5,143,plate1,50,2018-08-23,7,1 in 100,0.01,0.15,14.85,1.5,1 in 10,13.5,13.2,350
C6,1192,plate1,50,2018-08-23,1,1 in 1,1,15,0,NA,NA,NA,13.2,350
C7,1409,plate1,50,2018-08-23,3,1 in 2,0.5,7.5,7.5,NA,NA,NA,13.2,350
D2,442,plate1,50,2018-08-23,6,1 in 20,0.05,0.75,14.25,1.5,1 in 2,13.5,13.2,350
D3,1370,plate1,50,2018-08-23,2,1 in 1.5,0.6666666666666666,10,5,NA,NA,NA,13.2,350
D4,1320,plate1,50,2018-08-23,3,1 in 2,0.5,7.5,7.5,NA,NA,NA,13.2,350
D5,274,plate1,50,2018-08-23,6,1 in 20,0.05,0.75,14.25,1.5,1 in 2,13.5,13.2,350
D6,605,plate1,50,2018-08-23,5,1 in 10,0.1,1.5,13.5,NA,NA,NA,13.2,350
D7,267,plate1,50,2018-08-23,7,1 in 100,0.01,0.15,14.85,1.5,1 in 10,13.5,13.2,350
E2,1213,plate1,50,2018-08-23,4,1 in 5,0.2,3,12,NA,NA,NA,13.2,350
E3,1084,plate1,50,2018-08-23,5,1 in 10,0.1,1.5,13.5,NA,NA,NA,13.2,350
E4,90,plate1,50,2018-08-23,8,1 in 1000,0.001,0.015,14.985,1.5,1 in 100,13.5,13.2,350
E5,1339,plate1,50,2018-08-23,3,1 in 2,0.5,7.5,7.5,NA,NA,NA,13.2,350
E6,96,plate1,50,2018-08-23,8,1 in 1000,0.001,0.015,14.985,1.5,1 in 100,13.5,13.2,350
E7,404,plate1,50,2018-08-23,6,1 in 20,0.05,0.75,14.25,1.5,1 in 2,13.5,13.2,350
B2,310,plate2,33,2018-08-23,5,1 in 10,0.1,1.5,13.5,NA,NA,NA,13.2,231
B3,590,plate2,33,2018-08-23,4,1 in 5,0.2,3,12,NA,NA,NA,13.2,231
B4,452,plate2,33,2018-08-23,7,1 in 100,0.01,0.15,14.85,1.5,1 in 10,13.5,13.2,231
B5,848,plate2,33,2018-08-23,1,1 in 1,1,15,0,NA,NA,NA,13.2,231
B6,954,plate2,33,2018-08-23,2,1 in 1.5,0.6666666666666666,10,5,NA,NA,NA,13.2,231
B7,824,plate2,33,2018-08-23,4,1 in 5,0.2,3,12,NA,NA,NA,13.2,231
C2,987,plate2,33,2018-08-23,2,1 in 1.5,0.6666666666666666,10,5,NA,NA,NA,13.2,231
C3,863,plate2,33,2018-08-23,1,1 in 1,1,15,0,NA,NA,NA,13.2,231
C4,111,plate2,33,2018-08-23,8,1 in 1000,0.001,0.015,14.985,1.5,1 in 100,13.5,13.2,231
C5,520,plate2,33,2018-08-23,7,1 in 100,0.01,0.15,14.85,1.5,1 in 10,13.5,13.2,231
C6,1021,plate2,33,2018-08-23,1,1 in 1,1,15,0,NA,NA,NA,13.2,231
C7,1083,plate2,33,2018-08-23,3,1 in 2,0.5,7.5,7.5,NA,NA,NA,13.2,231
D2,293,plate2,33,2018-08-23,6,1 in 20,0.05,0.75,14.25,1.5,1 in 2,13.5,13.2,231
D3,1057,plate2,33,2018-08-23,2,1 in 1.5,0.6666666666666666,10,5,NA,NA,NA,13.2,231
D4,1040,plate2,33,2018-08-23,3,1 in 2,0.5,7.5,7.5,NA,NA,NA,13.2,231
D5,327,plate2,33,2018-08-23,6,1 in 20,0.05,0.75,14.25,1.5,1 in 2,13.5,13.2,231
D6,583,plate2,33,2018-08-23,5,1 in 10,0.1,1.5,13.5,NA,NA,NA,13.2,231
D7,445,plate2,33,2018-08-23,7,1 in 100,0.01,0.15,14.85,1.5,1 in 10,13.5,13.2,231
E2,806,plate2,33,2018-08-23,4,1 in 5,0.2,3,12,NA,NA,NA,13.2,231
E3,523,plate2,33,2018-08-23,5,1 in 10,0.1,1.5,13.5,NA,NA,NA,13.2,231
E4,160,plate2,33,2018-08-23,8,1 in 1000,0.001,0.015,14.985,1.5,1 in 100,13.5,13.2,231
E5,1337,plate2,33,2018-08-23,3,1 in 2,0.5,7.5,7.5,NA,NA,NA,13.2,231
E6,154,plate2,33,2018-08-23,8,1 in 1000,0.001,0.015,14.985,1.5,1 in 100,13.5,13.2,231
E7,464,plate2,33,2018-08-23,6,1 in 20,0.05,0.75,14.25,1.5,1 in 2,13.5,13.2,231
B2,307,plate3,70,2018-08-23,5,1 in 10,0.1,1.5,13.5,NA,NA,NA,13.2,489.99999999999994
B3,529,plate3,70,2018-08-23,4,1 in 5,0.2,3,12,NA,NA,NA,13.2,489.99999999999994
B4,166,plate3,70,2018-08-23,7,1 in 100,0.01,0.15,14.85,1.5,1 in 10,13.5,13.2,489.99999999999994
B5,1049,plate3,70,2018-08-23,1,1 in 1,1,15,0,NA,NA,NA,13.2,489.99999999999994
