row,1,2,3,4,5,6,7,8
a,NA,NA,NA,NA,NA,NA,NA,NA
b,NA,5,4,7,1,2,4,NA
c,NA,2,1,8,7,1,3,NA
d,NA,6,2,3,6,5,7,NA
e,NA,4,5,8,3,8,6,NA
f,NA,NA,NA,NA,NA,NA,NA,NA
