row,1,2,3,4,5,6,7,8,9,10,11,12
A,854,809,849,813,851,837,869,860,820,835,773,711
B,772,778,735,753,792,847,832,848,833,750,714,678
C,786,759,790,810,748,774,802,817,769,747,726,673
D,524,474,459,478,496,479,521,520,502,460,489,507
E,760,716,757,738,754,731,739,766,736,695,664,612
F,747,803,760,773,727,725,742,763,693,671,715,655
G,572,604,557,570,549,544,544,545,522,514,494,527
H,662,699,641,4,0,3,0,4,3,3,5,6
