row,1,2,3,4,5,6,7,8,9,10,11,12
A,396,440,594,367,403,591,414,415,434,443,441,433
B,406,380,372,415,408,423,424,438,450,472,449,427
C,385,380,391,385,387,396,390,424,428,425,417,433
D,429,419,421,394,423,431,447,422,453,481,484,567
E,387,419,380,399,394,417,393,453,407,435,416,466
F,436,409,397,421,387,394,374,429,406,410,410,433
G,443,429,435,439,408,457,479,470,465,523,479,559
H,390,386,409,1,5,4,2,6,5,8,0,2
