row,1,2,3,4,5,6,7,8
A,153,223,376,240,25,33,15,5
B,978,1210,1176,1187,818,1068,713,324
C,0,7,0,2,3,0,0,1
D,7,0,3,0,5,2,5,5
E,3,6,4,2,3,7,4,5
F,6,3,4,1,4,0,2,0
