well,light_level,day,cell_count,population_density,dilution,percent_of_stock,ml_of_full_concentration_stock,ml_of_media,ml_of_secondary_stock,which_stock,ml_of_media_1,total_volume_required
B2,100,day2,12,5,1 in 10,0.1,1.5,13.5,NA,NA,NA,13.2
B2,100,day4,243,5,1 in 10,0.1,1.5,13.5,NA,NA,NA,13.2
B2,33,day2,1479,5,1 in 10,0.1,1.5,13.5,NA,NA,NA,13.2
B2,33,day4,1553,5,1 in 10,0.1,1.5,13.5,NA,NA,NA,13.2
B2,5,day2,44,5,1 in 10,0.1,1.5,13.5,NA,NA,NA,13.2
B2,5,day4,43,5,1 in 10,0.1,1.5,13.5,NA,NA,NA,13.2
B2,50,day2,843,5,1 in 10,0.1,1.5,13.5,NA,NA,NA,13.2
B2,50,day4,1247,5,1 in 10,0.1,1.5,13.5,NA,NA,NA,13.2
B2,70,day2,1294,5,1 in 10,0.1,1.5,13.5,NA,NA,NA,13.2
B2,70,day4,1600,5,1 in 10,0.1,1.5,13.5,NA,NA,NA,13.2
B3,100,day2,1095,4,1 in 5,0.2,3,12,NA,NA,NA,13.2
B3,100,day4,1682,4,1 in 5,0.2,3,12,NA,NA,NA,13.2
B3,33,day2,2896,4,1 in 5,0.2,3,12,NA,NA,NA,13.2
B3,33,day4,2024,4,1 in 5,0.2,3,12,NA,NA,NA,13.2
B3,5,day2,71,4,1 in 5,0.2,3,12,NA,NA,NA,13.2
B3,5,day4,202,4,1 in 5,0.2,3,12,NA,NA,NA,13.2
B3,50,day2,1057,4,1 in 5,0.2,3,12,NA,NA,NA,13.2
B3,50,day4,1363,4,1 in 5,0.2,3,12,NA,NA,NA,13.2
B3,70,day2,1277,4,1 in 5,0.2,3,12,NA,NA,NA,13.2
B3,70,day4,1893,4,1 in 5,0.2,3,12,NA,NA,NA,13.2
B4,100,day2,12,7,1 in 100,0.01,0.15,14.85,1.5,1 in 10,13.5,13.2
B4,100,day4,7,7,1 in 100,0.01,0.15,14.85,1.5,1 in 10,13.5,13.2
B4,33,day2,181,7,1 in 100,0.01,0.15,14.85,1.5,1 in 10,13.5,13.2
B4,33,day4,1236,7,1 in 100,0.01,0.15,14.85,1.5,1 in 10,13.5,13.2
