row,1,2,3,4,5,6,7,8
A,NA,NA,NA,NA,NA,NA,NA,NA
B,NA,447,831,156,946,1070,767,NA
C,NA,1208,1330,46,143,1192,1409,NA
D,NA,442,1370,1320,274,605,267,NA
E,NA,1213,1084,90,1339,96,404,NA
F,NA,NA,NA,NA,NA,NA,NA,NA
