row,1,2,3,4,5,6,7,8
A,NA,NA,NA,NA,NA,NA,NA,NA
B,NA,310,590,452,848,954,824,NA
C,NA,987,863,111,520,1021,1083,NA
D,NA,293,1057,1040,327,583,445,NA
E,NA,806,523,160,1337,154,464,NA
F,NA,NA,NA,NA,NA,NA,NA,NA
