row,1,2,3,4,5,6,7,8
A,697,749,793,884,115,97,124,115
B,4656,5254,5286,5500,3212,2793,3261,2919
C,5,0,3,3,4,1,0,3
D,1,2,3,5,3,7,1,2
E,3,4,3,1,1,2,0,3
F,0,2,4,2,5,7,2,0
