row,1,2,3,4,5,6,7,8
A,NA,NA,NA,NA,NA,NA,NA,NA
B,NA,136,115,301,468,281,177,NA
C,NA,596,511,331,351,567,311,NA
D,NA,80,607,554,154,279,445,NA
E,NA,170,154,314,242,364,242,NA
F,NA,NA,NA,NA,NA,NA,NA,NA
