row,1,2,3,4,5,6,7,8
A,153,105,138,104,58,57,24,5
B,122,233,229,278,171,160,128,133
C,1,3,2,3,2,0,1,0
D,1,3,0,0,3,3,5,1
E,3,5,1,1,6,3,2,4
F,1,0,3,2,5,4,0,4
