row,1,2,3,4,5,6,7,8
A,NA,NA,NA,NA,NA,NA,NA,NA
B,NA,307,529,166,1049,901,789,NA
C,NA,1166,1317,24,147,1117,982,NA
D,NA,254,1202,1002,290,516,209,NA
E,NA,497,406,23,1235,46,289,NA
F,NA,NA,NA,NA,NA,NA,NA,NA
