row,1,2,3,4,5,6,7,8
A,NA,NA,NA,NA,NA,NA,NA,NA
B,NA,614,565,596,1687,1432,550,NA
C,NA,1193,2027,618,644,1891,632,NA
D,NA,539,1325,809,617,1178,997,NA
E,NA,513,641,578,744,611,1014,NA
F,NA,NA,NA,NA,NA,NA,NA,NA
