row,1,2,3,4,5,6,7,8
A,NA,NA,NA,NA,NA,NA,NA,NA
B,NA,2,15,6,25,84,175,NA
C,NA,21,7,2,3,35,159,NA
D,NA,4,20,17,4,42,14,NA
E,NA,5,1,0,62,4,14,NA
F,NA,NA,NA,NA,NA,NA,NA,NA
