row,1,2,3,4,5,6,7,8,9,10,11,12
A,1857,2008,1931,1674,1861,1982,1873,1871,1750,1788,1779,1616
B,1886,1825,1761,1721,1778,1769,1842,1802,1800,1766,1652,1600
C,1870,1804,1790,1741,1702,1675,1730,1822,1747,1694,1680,1517
D,1087,1095,1078,1008,1068,1033,1186,1111,1126,990,1037,1135
E,1625,1606,1583,1560,1552,1621,1699,1676,1600,1559,1553,1549
F,1620,1677,1453,1551,1553,1676,1680,1716,1607,1550,1549,1568
G,1106,1140,1037,1048,961,1030,1040,1109,952,995,965,948
H,1361,1414,1437,2,0,1,2,2,3,2,9,0
