row,1,2,3,4,5,6,7,8,9,10,11,12
A,648,624,722,627,624,647,603,651,608,658,609,539
B,610,563,597,549,617,584,617,614,613,597,544,516
C,608,568,593,586,595,509,592,609,558,551,568,535
D,471,447,454,420,418,439,449,472,451,434,437,509
E,571,574,576,569,547,564,569,602,560,549,539,495
F,580,571,556,570,558,564,579,569,552,563,552,522
G,498,535,481,490,482,474,463,464,463,491,462,488
H,582,582,546,0,10,0,6,7,2,2,7,7
