row,1,2,3,4,5,6,7,8
A,NA,NA,NA,NA,NA,NA,NA,NA
B,NA,1218,1329,1195,1833,715,1347,NA
C,NA,1147,2387,836,1318,2175,888,NA
D,NA,1393,1495,1160,1404,1349,1269,NA
E,NA,1197,1206,825,749,752,1473,NA
F,NA,NA,NA,NA,NA,NA,NA,NA
