row,1,2,3,4,5,6,7,8
A,NA,NA,NA,NA,NA,NA,NA,NA
B,NA,3,5,3,388,241,17,NA
C,NA,356,364,4,4,487,103,NA
D,NA,1,351,17,4,6,6,NA
E,NA,3,4,1,26,3,5,NA
F,NA,NA,NA,NA,NA,NA,NA,NA
