well,population_density
B2,5
B3,4
B4,7
B5,1
B6,2
B7,4
C2,2
C3,1
C4,8
C5,7
C6,1
C7,3
D2,6
D3,2
D4,3
D5,6
D6,5
D7,7
E2,4
E3,5
E4,8
E5,3
E6,8
E7,6
