Slice,Count,Total Area,Average Size,%Area,Mean,Perim.,Major,Minor,Angle
2018-08-28-CT-day2-05percent-no-auto-expose_B2_01_1_1_Bright_Field_001.jpg,0,0,NaN,0.000,NaN,NaN,NaN,NaN,NaN
2018-08-28-CT-day2-05percent-no-auto-expose_B2_02_1_1_Bright_Field_001.jpg,38,2899,76.289,0.262,255,32.140,11.211,8.510,99.430
2018-08-28-CT-day2-05percent-no-auto-expose_B2_03_1_1_Bright_Field_001.jpg,30,2403,80.100,0.217,255,33.098,11.353,8.841,100.608
2018-08-28-CT-day2-05percent-no-auto-expose_B2_04_1_1_Bright_Field_001.jpg,0,0,NaN,0.000,NaN,NaN,NaN,NaN,NaN
2018-08-28-CT-day2-05percent-no-auto-expose_B3_01_1_1_Bright_Field_001.jpg,0,0,NaN,0.000,NaN,NaN,NaN,NaN,NaN
2018-08-28-CT-day2-05percent-no-auto-expose_B3_02_1_1_Bright_Field_001.jpg,87,6730,77.356,0.608,255,32.136,11.474,8.456,106.536
2018-08-28-CT-day2-05percent-no-auto-expose_B3_03_1_1_Bright_Field_001.jpg,71,5495,77.394,0.497,255,31.956,11.377,8.484,89.677
2018-08-28-CT-day2-05percent-no-auto-expose_B3_04_1_1_Bright_Field_001.jpg,62,4891,78.887,0.442,255,32.438,11.591,8.502,97.765
2018-08-28-CT-day2-05percent-no-auto-expose_B4_01_1_1_Bright_Field_001.jpg,0,0,NaN,0.000,NaN,NaN,NaN,NaN,NaN
2018-08-28-CT-day2-05percent-no-auto-expose_B4_02_1_1_Bright_Field_001.jpg,6,496,82.667,0.045,255,33.254,11.987,8.659,61.000
2018-08-28-CT-day2-05percent-no-auto-expose_B4_03_1_1_Bright_Field_001.jpg,0,0,NaN,0.000,NaN,NaN,NaN,NaN,NaN
2018-08-28-CT-day2-05percent-no-auto-expose_B4_04_1_1_Bright_Field_001.jpg,0,0,NaN,0.000,NaN,NaN,NaN,NaN,NaN
2018-08-28-CT-day2-05percent-no-auto-expose_B5_01_1_1_Bright_Field_001.jpg,774,57796,74.672,5.223,255,32.136,11.252,8.330,100.172
2018-08-28-CT-day2-05percent-no-auto-expose_B5_02_1_1_Bright_Field_001.jpg,800,58758,73.448,5.310,255,31.433,11.280,8.210,93.800
