row,1,2,3,4,5,6,7,8
A,NA,NA,NA,NA,NA,NA,NA,NA
B,NA,406,815,27,1567,1324,510,NA
C,NA,1708,1624,7,35,1525,985,NA
D,NA,199,1938,1764,96,205,106,NA
E,NA,842,315,12,1396,11,152,NA
F,NA,NA,NA,NA,NA,NA,NA,NA
