row,1,2,3,4,5,6,7,8,9,10,11,12
A,1802,1967,1957,1739,1968,2123,1974,1996,1820,1873,1756,1540
B,1968,1845,1802,1852,1947,1911,1943,2035,1978,1812,1703,1569
C,1800,1974,1955,1863,1906,1836,1913,1961,1915,1798,1652,1513
D,1264,1208,1135,1111,1184,1162,1238,1233,1235,1133,1163,1253
E,1663,1607,1706,1594,1672,1705,1725,1704,1703,1521,1533,1498
F,1579,1708,1485,1547,1564,1618,1630,1650,1541,1546,1458,1455
G,1120,1202,1142,1127,1050,1059,1072,1116,998,1100,995,1018
H,1243,1232,1290,0,4,0,0,1,2,5,0,0
