 ,Area,Mean,Min,Max
1,25,255,255,255
2,8,255,255,255
3,138,255,255,255
4,127,255,255,255
5,94,255,255,255
6,126,255,255,255
7,100,255,255,255
8,6,255,255,255
9,97,255,255,255
10,71,255,255,255
11,87,255,255,255
12,109,255,255,255
13,103,255,255,255
14,375,255,255,255
15,84,255,255,255
16,95,255,255,255
17,36,255,255,255
18,70,255,255,255
19,74,255,255,255
20,87,255,255,255
21,97,255,255,255
22,134,255,255,255
23,73,255,255,255
24,81,255,255,255
25,116,255,255,255
26,51,255,255,255
27,97,255,255,255
28,122,255,255,255
29,108,255,255,255
30,194,255,255,255
31,14,255,255,255
32,93,255,255,255
33,163,255,255,255
34,115,255,255,255
35,58,255,255,255
36,267,255,255,255
37,9,255,255,255
38,49,255,255,255
39,96,255,255,255
40,123,255,255,255
41,55,255,255,255
42,88,255,255,255
43,112,255,255,255
44,109,255,255,255
45,82,255,255,255
46,176,255,255,255
47,93,255,255,255
48,77,255,255,255
49,108,255,255,255
50,5,255,255,255
51,118,255,255,255
52,10,255,255,255
53,103,255,255,255
54,89,255,255,255
55,85,255,255,255
56,133,255,255,255
57,98,255,255,255
58,90,255,255,255
59,82,255,255,255
60,83,255,255,255
61,74,255,255,255
62,96,255,255,255
63,89,255,255,255
64,200,255,255,255
65,128,255,255,255
66,114,255,255,255
67,92,255,255,255
68,115,255,255,255
69,120,255,255,255
70,103,255,255,255
71,132,255,255,255
72,109,255,255,255
73,74,255,255,255
74,107,255,255,255
75,89,255,255,255
76,47,255,255,255
77,133,255,255,255
78,95,255,255,255
79,28,255,255,255
