 ,Area,Mean,Min,Max
1,19,255,255,255
2,3,255,255,255
3,98,255,255,255
4,86,255,255,255
5,73,255,255,255
6,100,255,255,255
7,84,255,255,255
8,1,255,255,255
9,80,255,255,255
10,62,255,255,255
11,70,255,255,255
12,95,255,255,255
13,90,255,255,255
14,311,255,255,255
15,63,255,255,255
16,82,255,255,255
17,11,255,255,255
18,31,255,255,255
19,77,255,255,255
20,77,255,255,255
21,109,255,255,255
22,1,255,255,255
23,60,255,255,255
24,67,255,255,255
25,100,255,255,255
26,29,255,255,255
27,86,255,255,255
28,95,255,255,255
29,93,255,255,255
30,171,255,255,255
31,6,255,255,255
32,77,255,255,255
33,119,255,255,255
34,79,255,255,255
35,36,255,255,255
36,215,255,255,255
37,3,255,255,255
38,4,255,255,255
39,6,255,255,255
40,6,255,255,255
41,83,255,255,255
42,105,255,255,255
43,10,255,255,255
44,76,255,255,255
45,96,255,255,255
46,91,255,255,255
47,71,255,255,255
48,70,255,255,255
49,73,255,255,255
50,64,255,255,255
51,73,255,255,255
52,90,255,255,255
53,101,255,255,255
54,89,255,255,255
55,70,255,255,255
56,67,255,255,255
57,92,255,255,255
58,65,255,255,255
59,79,255,255,255
60,65,255,255,255
61,70,255,255,255
62,67,255,255,255
63,80,255,255,255
64,69,255,255,255
65,81,255,255,255
66,105,255,255,255
67,98,255,255,255
68,80,255,255,255
69,78,255,255,255
70,93,255,255,255
71,87,255,255,255
72,73,255,255,255
73,114,255,255,255
74,89,255,255,255
75,63,255,255,255
76,92,255,255,255
77,77,255,255,255
78,100,255,255,255
79,4,255,255,255
80,5,255,255,255
81,85,255,255,255
82,22,255,255,255
