 ,Area,Mean,Min,Max
1,18,255,255,255
2,3,255,255,255
3,98,255,255,255
4,81,255,255,255
5,73,255,255,255
6,100,255,255,255
7,84,255,255,255
8,1,255,255,255
9,80,255,255,255
10,62,255,255,255
11,70,255,255,255
12,94,255,255,255
13,90,255,255,255
14,245,255,255,255
15,57,255,255,255
16,62,255,255,255
17,82,255,255,255
18,10,255,255,255
19,30,255,255,255
20,77,255,255,255
21,77,255,255,255
22,109,255,255,255
23,1,255,255,255
24,60,255,255,255
25,67,255,255,255
26,100,255,255,255
27,29,255,255,255
28,85,255,255,255
29,95,255,255,255
30,93,255,255,255
31,84,255,255,255
32,78,255,255,255
33,6,255,255,255
34,75,255,255,255
35,119,255,255,255
36,79,255,255,255
37,36,255,255,255
38,215,255,255,255
39,3,255,255,255
40,4,255,255,255
41,6,255,255,255
42,6,255,255,255
43,83,255,255,255
44,105,255,255,255
45,10,255,255,255
46,76,255,255,255
47,96,255,255,255
48,90,255,255,255
49,71,255,255,255
50,70,255,255,255
51,73,255,255,255
52,64,255,255,255
53,73,255,255,255
54,90,255,255,255
55,101,255,255,255
56,89,255,255,255
57,70,255,255,255
58,67,255,255,255
59,92,255,255,255
60,65,255,255,255
61,79,255,255,255
62,65,255,255,255
63,70,255,255,255
64,67,255,255,255
65,80,255,255,255
66,69,255,255,255
67,81,255,255,255
68,105,255,255,255
69,98,255,255,255
70,80,255,255,255
71,78,255,255,255
72,93,255,255,255
73,87,255,255,255
74,73,255,255,255
75,114,255,255,255
76,89,255,255,255
77,63,255,255,255
78,91,255,255,255
79,77,255,255,255
80,100,255,255,255
81,4,255,255,255
82,5,255,255,255
83,85,255,255,255
84,22,255,255,255
