FSC-A,SSC-A,FL1-A,FL2-A,FL3-A,FL4-A,FSC-H,SSC-H,FL1-H,FL2-H,FL3-H,FL4-H,Width,Time
24767,1889,151,177,438,231,95610,6178,36,64,592,175,16,157
1623852,269107,14679,6292,44463,10529,3002156,449623,15700,6869,46225,12363,56,157
83474,7977,273,412,530,223,147253,13858,140,200,534,428,44,157
50266,53917,87,92,550,0,118852,105268,57,103,392,97,32,158
1222682,340723,19531,7368,85725,27474,1674927,507569,16728,6378,76644,29076,52,159
38539,12744,415,133,738,1322,128633,68019,948,204,1606,2614,17,159
14613,3597,127,246,54,151,70127,11998,21,181,0,42,12,159
12741,6031,83,118,239,134,53994,20883,0,0,0,84,12,160
804231,159345,6333,2646,66046,16607,1453572,250580,6509,2717,67186,18537,57,160
1147055,468192,15140,5299,46907,10199,2534679,770202,15662,5861,49510,12395,70,161
1511596,737195,17503,6324,65017,12423,2272610,1173140,16911,6463,63382,11581,65,161
13951,4857,188,104,383,250,50473,28621,139,116,413,380,14,161
915087,116466,14672,5448,56445,19484,1438503,167093,13086,4758,53876,18830,64,162
886932,108047,9617,3927,28174,4936,1969235,189680,10503,3855,31117,6579,41,162
32897,5784,343,210,385,574,136653,33958,415,251,1136,944,16,162
1322234,487423,18938,7366,92118,28018,1942389,762631,17462,7208,87839,28939,63,163
422457,58728,7221,2621,22053,5521,643589,87958,7026,2425,21436,6467,55,163
1516116,528419,13983,5413,52217,11901,2622009,864226,14816,5544,54046,13049,55,164
12683,3267,46,134,344,233,58366,19853,0,5,418,355,13,164
374498,72304,5419,2156,19215,4025,607374,113825,4990,1972,19346,6107,48,164
1219481,185340,12527,4675,49256,13363,2476735,309318,13563,5094,53985,17650,64,165
601845,292359,10588,4416,34205,9069,1009917,486511,9504,4082,32345,9969,50,166
1153175,231550,20813,8563,74397,19973,1594503,356524,18869,7790,66938,20637,57,166
23739,7097,241,195,488,697,88858,37757,345,131,501,1511,15,166
1510896,225452,16457,7110,63889,22945,3022912,356016,17267,7208,62804,24846,71,166
807695,62291,7981,3230,29774,7564,1545571,96592,7769,3211,32060,8307,61,166
813055,153459,9590,4068,29752,8828,1788988,250086,9542,3999,31061,10328,60,167
67144,7070,186,81,294,274,153773,13398,86,121,356,222,35,167
1692201,489380,24150,8265,98647,29648,2668442,763043,23610,8209,96997,31502,74,167
1273558,282973,18856,7574,67653,12301,1786925,385106,16527,6303,53493,13668,78,169
1105391,216916,10021,3981,78880,20614,2068684,360426,10189,4170,84241,26011,50,169
21215,3605,202,230,322,274,113536,12642,140,149,242,246,12,170
31930,11652,269,0,782,0,53230,19585,117,13,787,0,33,170
27796,2901,290,318,366,205,85980,8166,164,208,156,199,21,171
682841,71035,8492,3602,24715,5832,1311534,113996,9098,3811,28466,8092,53,171
136946,7065,47,209,139,364,312225,11789,22,96,195,416,36,171
863824,95215,7876,3357,34365,14569,1923021,173181,8684,3650,39763,15988,38,171
19448,3123,136,166,698,498,72071,17916,0,83,1793,813,16,171
941309,126837,8233,3736,51765,17825,1661111,210752,8074,3849,53859,19111,47,172
18299,2856,58,198,358,246,84276,15921,0,155,1052,1032,14,172
924585,147412,30854,13810,36443,1077,1207715,217321,27725,12390,34635,979,54,172
1115666,266665,15685,6121,59491,18572,1826514,404341,14993,5714,57947,17027,73,174
707587,241482,7600,3124,24542,6446,1286292,403010,8219,3010,26443,5883,55,175
18532,2479,186,183,342,223,95936,8887,114,77,129,260,12,175
352435,153941,2238,563,3369,480,688994,271236,2283,760,3494,985,42,176
16454,1740,148,127,106,111,55907,5987,90,22,0,47,16,176
871263,155487,13808,5539,47115,9861,1632194,277919,14899,5870,49460,12122,48,176
15853,4267,119,242,386,546,82922,23319,40,227,1089,1427,12,176
1059941,145717,14750,5534,51012,20103,1611481,211970,13478,4881,50036,22056,61,177
20560,2844,168,262,427,0,105223,10709,77,262,272,153,13,177
1142825,381999,12539,4899,47415,15333,1994765,650380,13300,4729,47447,13586,48,178
18550,8006,214,151,356,456,84872,46439,537,78,512,603,14,178
783519,144388,13027,5281,40256,10159,1108304,214580,10557,4458,36607,9253,49,178
31013,7114,278,286,1158,561,104196,37837,458,368,2670,1134,17,178
32093,21503,183,119,410,40,106678,55455,184,25,330,0,20,178
