well,Count,Volume (µL),gate,Plot 2 (FSC-A/FL1-A)
B02,258,25,R3,Plot 2 (FSC-A/FL1-A)
B03,379,25,R3,
B04,14,25,R3,
B05,"3,185",25,R3,
B06,"1,212",25,R3,
B07,342,25,R3,
C02,"1,191",25,R3,
C03,"2,800",25,R3,
C04,7,25,R3,
C05,10,25,R3,
C06,"2,652",25,R3,
C07,528,25,R3,
D02,65,25,R3,
D03,"1,055",25,R3,
D04,775,25,R3,
D05,44,25,R3,
D06,109,25,R3,
D07,13,25,R3,
E02,306,25,R3,
E03,158,25,R3,
E04,13,25,R3,
E05,"1,071",25,R3,
E06,15,25,R3,
E07,32,25,R3,
