FSC-A,SSC-A,FL1-A,FL2-A,FL3-A,FL4-A,FSC-H,SSC-H,FL1-H,FL2-H,FL3-H,FL4-H,Width,Time;;;;;;;;;;;;;;;;
50745,7251,239,153,325,159,92010,13373,102,42,297,340,33,155;;;;;;;;;;;;;;;;
18645,2628,62,236,452,157,68986,11560,0,177,345,74,16,155;;;;;;;;;;;;;;;;
300380,16692,65,251,611,293,609808,33060,0,224,272,511,38,155;;;;;;;;;;;;;;;;
67416,4496,171,36,926,564,97728,4758,69,48,493,731,57,155;;;;;;;;;;;;Plot 2 (FSC-A/FL1-A);;;;
13873,490,178,246,472,205,51572,1486,158,238,338,395,14,155;;;;;;;;;;;;R3;;;;
42650,5532,260,163,154,372,111881,11208,165,85,92,314,23,155;;;;;;;;;;;;Count;Volume (µL);;;
102153,45206,233,203,566,3990,212838,88010,109,163,603,4788,30,155;;;;;;;;;;;B02;258;25;;;
41884,3516,171,140,493,64,75809,9759,88,155,490,233,22,156;;;;;;;;;;;B03;379;25;;;
18483,3143,127,134,529,310,99168,10704,21,84,460,500,12,156;;;;;;;;;;;B04;14;25;;;
44638,4595,254,210,0,206,97195,8982,172,137,118,513,34,156;;;;;;;;;;;B05;3'185;25;;;
41923,3058,129,101,460,424,120500,7419,34,0,401,738,21,156;;;;;;;;;;;B06;1'212;25;;;
14957,607,215,57,347,220,59393,1819,174,0,358,219,14,156;;;;;;;;;;;B07;342;25;;;
17662,2599,90,231,156,521,66409,7273,3,195,193,665,15,156;;;;;;;;;;;C02;1'191;25;;;
30773,1631,360,48,342,12,65443,3041,202,73,201,100,32,156;;;;;;;;;;;C03;2'800;25;;;
13623,635,184,133,478,268,56582,2169,152,0,398,395,13,156;;;;;;;;;;;C04;7;25;;;
126033,7017,0,106,0,368,202178,11507,0,160,0,465,41,156;;;;;;;;;;;C05;10;25;;;
12982,874,297,143,472,216,60067,3862,246,59,350,186,12,156;;;;;;;;;;;C06;2'652;25;;;
196558,9874,77,383,519,237,205289,8095,107,171,455,342,76,156;;;;;;;;;;;C07;528;25;;;
343962,32656,0,0,0,0,137812,14295,119,122,358,493,170,156;;;;;;;;;;;D02;65;25;;;
59755,8716,0,212,433,324,142005,15123,60,138,499,523,34,156;;;;;;;;;;;D03;1'055;25;;;
19524,1721,95,178,521,61,93576,5874,0,81,424,0,13,156;;;;;;;;;;;D04;775;25;;;
20521,1204,157,119,463,230,92009,4209,50,0,410,281,14,156;;;;;;;;;;;D05;44;25;;;
48832,6309,104,24,674,342,131750,11652,107,21,610,577,31,156;;;;;;;;;;;D06;109;25;;;
15027,1506,139,240,369,80,73711,5706,35,172,330,0,12,156;;;;;;;;;;;D07;13;25;;;
603723,29959,586,360,64,560,1076190,41505,222,192,229,423,64,156;;;;;;;;;;;E02;306;25;;;
1579373,9961169,244,159,1995,1140,1185653,0,135,163,1508,1185,91,156;;;;;;;;;;;E03;158;25;;;
208078,14807,322,201,0,0,387126,20132,140,86,307,310,39,156;;;;;;;;;;;E04;13;25;;;
70185,17131,273,286,446,444,162709,35570,164,150,218,310,32,156;;;;;;;;;;;E05;1'071;25;;;
53208,7223,177,106,503,72,78619,9220,101,86,191,172,36,157;;;;;;;;;;;E06;15;25;;;
34525,8339,187,98,308,129,91785,19221,43,30,225,226,20,157;;;;;;;;;;;E07;32;25;;;
119206,17892,142,240,632,233,165525,25956,113,113,327,431,49,157;;;;;;;;;;;;;;;;
15090,895,154,118,615,159,57982,3094,58,42,731,276,14,157;;;;;;;;;;;;;;;;
41091,7631,23,137,669,172,98500,13278,52,34,853,523,31,157;;;;;;;;;;;;Plot 2 (FSC-A/FL1-A);;Plot 3 (FL2-A/FL3-A);Plot 4 (FSC-A);Plot 1 (FSC-A/SSC-A)
52314,7894,0,299,554,285,126703,14785,0,247,487,504,32,157;;;;;;;;;;;;R3;;R4;All;All
24078,8907,264,51,256,69,95665,27125,198,0,334,0,18,157;;;;;;;;;;;;Count;Volume (µL);Count;Count;Count
24324,7030,90,42,281,91,72913,24564,123,0,23,146,18,157;;;;;;;;;;;B02;258;25;256;1'707;1'707
212860,15288,238,240,165,0,427635,30952,167,103,207,71,36,157;;;;;;;;;;;B03;379;25;377;952;952
14927,1536,145,236,446,154,62643,5756,21,140,433,27,14,157;;;;;;;;;;;B04;14;25;14;587;587
136764,2223770,235,180,314,558,176166,3417965,122,52,147,380,50,157;;;;;;;;;;;B05;3'185;25;3'192;4'535;4'535
25801,5508,72,180,377,0,75523,20222,0,90,127,0,19,157;;;;;;;;;;;B06;1'212;25;1'213;1'875;1'875
126300,8839,102,437,142,0,237887,13777,34,252,212,83,46,157;;;;;;;;;;;B07;342;25;340;646;646
74093,5539,348,230,314,540,177793,10186,201,171,423,440,37,157;;;;;;;;;;;C02;1'191;25;1'189;1'866;1'866
153829,28353,400,219,0,418,277535,50458,329,107,0,513,40,158;;;;;;;;;;;C03;2'800;25;2'800;3'759;3'759
981201,121127,577,277,355,700,1570410,198070,356,204,352,488,50,158;;;;;;;;;;;C04;7;25;6;103;103
18101,4182,145,225,111,63,93242,15506,144,191,0,0,12,158;;;;;;;;;;;C05;10;25;9;100;100
87186,22843,303,321,0,381,192135,40416,143,162,34,414,39,158;;;;;;;;;;;C06;2'652;25;2'651;3'347;3'347
15390,5669,89,168,239,228,69904,20769,4,47,0,289,13,158;;;;;;;;;;;C07;528;25;529;736;736
26865,4372,29,139,394,162,98543,12097,0,98,377,261,18,158;;;;;;;;;;;D02;65;25;64;142;142
64582,4929,273,219,464,15,141214,9956,140,105,473,127,33,158;;;;;;;;;;;D03;1'055;25;1'055;1'437;1'437
54422,3412,327,236,189,196,134201,6344,226,114,189,629,35,158;;;;;;;;;;;D04;775;25;774;930;930
19620,2432,62,299,245,168,55746,7101,0,213,209,54,18,158;;;;;;;;;;;D05;44;25;44;102;102
15264,2027,145,106,378,180,59678,7555,31,7,299,234,14,158;;;;;;;;;;;D06;109;25;108;201;201
584196,27162,654,86,0,740,274846,11158,257,103,308,769,170,158;;;;;;;;;;;D07;13;25;13;70;70
23358,2021,145,6,493,345,74565,5685,90,24,314,384,17,159;;;;;;;;;;;E02;306;25;306;414;414
35767,2657,196,84,364,43,122952,6577,75,53,212,75,20,159;;;;;;;;;;;E03;158;25;158;226;226
45190,2121,145,137,170,157,128234,4674,51,95,49,198,22,159;;;;;;;;;;;E04;13;25;14;107;107
21212,1938,74,110,704,151,78897,5707,0,10,721,344,17,159;;;;;;;;;;;E05;1'071;25;1'072;1'239;1'239
18652,5275,208,140,433,101,67042,14063,83,94,385,95,16,159;;;;;;;;;;;E06;15;25;13;146;146
