 	Area	Mean	XM	YM	Perim.	Major	Minor	Angle
1	15	255	145.033	901.500	15.314	5.141	3.715	175.857
2	67	255	152.664	899.022	30.385	10.694	7.977	21.752
3	37	255	250.689	899.365	25.799	7.601	6.198	173.366
4	37	255	352.284	900.851	23.899	9.285	5.074	2.632
5	5	255	427.500	902.500	10.243	5.642	1.128	0.000
6	4	255	816.000	902.500	8.243	4.514	1.128	0.000
7	7	255	828.071	902.357	13.071	5.648	1.578	178.545
8	81	255	869.735	896.586	40.627	13.106	7.869	124.918
9	75	255	71.980	897.487	32.042	11.993	7.962	24.147
10	38	255	83.868	895.842	26.385	7.402	6.536	93.030
11	48	255	517.396	896.771	27.799	9.979	6.124	169.566
12	25	255	881.580	895.060	17.314	6.257	5.087	98.536
13	56	255	258.768	892.714	29.799	10.603	6.725	157.746
14	25	255	931.100	893.300	20.971	7.802	4.080	144.928
15	30	255	477.133	892.433	20.142	7.713	4.953	63.435
16	46	255	506.087	891.130	25.799	8.285	7.069	174.773
17	47	255	587.181	891.351	24.971	8.533	7.013	51.379
18	55	255	1217.500	891.409	29.213	10.899	6.425	16.473
19	95	255	347.553	885.258	36.627	13.293	9.100	113.238
20	44	255	431.159	888.068	24.971	8.270	6.774	148.132
21	75	255	252.447	884.780	32.385	11.059	8.635	54.208
22	26	255	3.962	886.154	18.728	6.810	4.861	155.916
23	68	255	72.824	884.029	29.556	10.531	8.221	102.907
24	47	255	822.117	885.734	24.971	8.241	7.261	1.487
25	56	255	969.625	884.196	26.627	9.176	7.771	136.431
26	42	255	1075.405	884.667	23.556	8.806	6.073	50.847
27	69	255	445.601	883.601	29.556	9.887	8.886	53.492
28	42	255	502.500	883.595	22.971	7.983	6.698	54.012
29	63	255	550.976	884.119	41.456	10.035	7.994	4.092
30	47	255	1209.819	883.436	24.385	8.875	6.743	80.138
31	50	255	242.980	883.120	26.142	8.871	7.176	166.024
32	39	255	868.756	882.756	26.971	8.544	5.812	165.729
33	52	255	317.365	882.231	28.385	9.965	6.644	175.589
34	27	255	484.056	882.648	18.142	6.019	5.711	29.801
35	39	255	674.167	882.115	22.971	8.707	5.703	26.683
36	52	255	300.577	880.077	26.385	8.860	7.473	103.662
37	94	255	395.074	880.096	36.627	11.823	10.123	34.996
38	98	255	255.776	876.214	41.456	15.047	8.292	46.542
39	44	255	273.932	878.750	26.627	8.261	6.781	147.022
40	72	255	561.750	874.514	32.042	10.585	8.660	8.691
41	61	255	767.107	872.582	28.627	10.396	7.471	124.721
42	85	255	4.265	871.229	35.799	10.927	9.904	144.269
43	87	255	645.178	870.328	34.870	12.823	8.638	48.883
44	7	255	240.357	871.500	10.485	3.334	2.674	33.401
45	2	255	285.000	872.500	4.243	2.257	1.128	0.000
46	46	255	307.761	869.304	25.556	9.248	6.333	19.746
47	81	255	655.377	867.253	34.042	12.609	8.179	44.656
48	50	255	62.560	867.960	26.971	8.198	7.766	130.506
49	127	255	222.957	865.169	45.941	16.580	9.753	12.348
50	109	255	259.335	863.812	42.284	13.666	10.155	102.105
51	61	255	283.369	866.434	34.627	9.985	7.778	23.152
52	102	255	383.402	864.765	37.456	13.675	9.497	60.421
53	35	255	458.614	867.814	23.556	8.645	5.155	152.867
54	46	255	43.261	866.478	24.728	8.498	6.892	175.937
55	59	255	1030.737	864.686	35.213	9.610	7.817	84.192
56	68	255	566.029	864.176	29.799	10.269	8.431	168.331
57	45	255	716.456	865.478	24.142	7.758	7.385	66.448
58	81	255	615.549	863.093	33.213	11.268	9.152	159.453
59	30	255	515.700	864.233	19.314	6.425	5.945	63.764
60	34	255	248.353	862.971	21.556	7.444	5.815	11.109
61	62	255	3.242	860.113	28.728	10.638	7.421	91.040
62	34	255	900.735	861.971	20.728	7.223	5.994	177.173
63	98	255	313.888	858.888	36.385	12.442	10.029	15.753
64	48	255	803.667	859.938	27.213	8.994	6.795	35.156
65	50	255	98.400	857.340	30.971	8.966	7.101	70.459
66	72	255	84.167	856.319	30.385	10.031	9.139	15.143
67	39	255	551.936	855.859	22.971	7.742	6.414	116.218
68	53	255	281.462	854.783	26.971	8.797	7.671	124.401
69	47	255	475.777	854.181	26.971	10.528	5.684	77.882
70	74	255	652.203	854.176	31.799	9.814	9.600	81.507
71	46	255	369.804	854.565	25.556	8.616	6.798	21.836
72	39	255	825.603	853.449	23.556	8.724	5.692	82.294
73	41	255	815.963	853.866	24.142	9.005	5.797	10.297
74	65	255	860.269	851.069	28.385	9.450	8.758	176.179
75	65	255	8.700	850.608	28.385	9.364	8.838	124.690
76	2	255	269.000	854.500	4.243	2.257	1.128	0.000
77	48	255	444.750	850.208	33.698	9.321	6.557	135.585
78	69	255	1075.601	850.326	29.799	9.854	8.916	10.724
79	64	255	267.828	849.312	31.799	10.077	8.086	165.557
80	35	255	662.757	850.271	22.142	7.014	6.353	74.977
81	26	255	688.500	851.808	19.556	7.196	4.601	4.032
82	71	255	1200.937	849.556	31.213	10.638	8.498	28.324
83	95	255	1010.847	846.405	35.213	11.795	10.255	107.464
84	65	255	351.700	847.531	31.213	9.357	8.844	40.320
85	41	255	506.622	847.695	23.556	8.306	6.285	123.943
86	41	255	1026.451	847.841	29.799	7.393	7.061	114.388
87	71	255	394.035	844.711	29.799	10.226	8.840	166.471
88	59	255	540.788	845.347	28.627	9.458	7.942	171.143
89	46	255	809.109	845.500	24.142	7.982	7.337	0.000
90	96	255	939.458	843.562	35.213	11.894	10.277	152.707
