 	Area	Mean	XM	YM	Perim.	Major	Minor	Angle
1	5	255	23.500	902.500	10.243	5.642	1.128	0.000
2	38	255	373.211	900.526	22.728	8.300	5.830	170.224
3	30	255	600.467	901.133	21.314	8.860	4.311	174.933
4	8	255	709.500	902.125	11.071	4.769	2.136	0.000
5	33	255	910.348	900.803	22.142	8.086	5.196	8.559
6	48	255	257.292	895.354	24.971	8.188	7.464	124.937
7	48	255	22.521	892.354	25.556	9.273	6.591	109.826
8	37	255	230.581	894.014	22.142	7.267	6.483	176.557
9	68	255	118.382	885.000	29.799	10.257	8.441	73.908
10	51	255	139.029	879.931	24.971	8.201	7.917	23.199
11	35	255	545.386	878.243	23.556	8.216	5.424	103.993
12	48	255	1107.250	879.229	24.971	8.513	7.179	120.828
13	2	255	22.500	880.000	4.828	2.257	1.128	90.000
14	52	255	160.077	871.692	26.971	9.997	6.623	124.389
15	32	255	915.812	871.250	24.142	8.693	4.687	2.095
16	54	255	344.111	865.741	27.213	8.508	8.082	129.047
17	57	255	789.851	855.570	26.971	9.542	7.606	121.433
18	34	255	208.529	855.706	25.799	7.427	5.829	42.006
19	39	255	638.577	853.936	22.971	8.328	5.963	164.893
20	34	255	996.971	854.029	24.971	8.814	4.911	7.030
21	54	255	14.222	846.796	26.971	8.987	7.651	82.880
22	5	255	1223.500	842.500	10.828	5.642	1.128	90.000
23	77	255	304.734	836.617	33.213	11.841	8.280	96.913
24	39	255	460.064	839.013	22.971	8.344	5.951	74.820
25	39	255	524.679	837.397	24.385	8.817	5.632	122.910
26	45	255	641.633	831.456	24.971	9.762	5.869	30.394
27	51	255	224.147	823.755	27.213	10.487	6.192	119.901
28	49	255	92.847	823.071	25.799	8.565	7.284	85.230
29	42	255	546.929	823.714	26.385	9.541	5.605	158.648
30	59	255	947.076	823.178	28.385	9.914	7.577	26.252
31	60	255	398.683	822.100	27.556	9.450	8.084	12.583
32	51	255	297.775	810.245	26.971	10.576	6.140	70.382
33	59	255	540.280	809.246	28.385	10.876	6.907	149.312
34	35	255	207.871	808.929	20.728	7.139	6.243	165.443
35	44	255	73.909	803.886	24.385	8.757	6.397	125.295
36	38	255	506.579	800.868	22.142	7.237	6.685	15.793
37	38	255	617.711	799.211	22.971	7.286	6.641	5.816
38	40	255	516.375	792.250	22.971	8.733	5.832	125.045
39	26	255	1215.154	790.769	17.899	6.411	5.163	163.826
40	51	255	75.794	785.520	25.799	9.147	7.099	111.788
41	43	255	785.221	779.221	23.556	7.999	6.845	100.391
42	28	255	1041.500	767.643	20.971	6.851	5.204	29.412
43	40	255	1026.225	764.575	30.042	8.455	6.024	45.774
44	54	255	437.870	764.204	26.971	8.551	8.040	179.855
45	42	255	342.690	763.357	22.728	7.751	6.899	52.513
46	75	255	366.687	761.233	31.213	11.258	8.482	62.790
47	39	255	1121.936	763.577	21.899	7.636	6.503	100.730
48	43	255	801.105	756.058	24.728	9.120	6.003	102.470
49	52	255	201.827	751.038	27.456	9.595	6.900	166.203
50	39	255	826.808	745.090	23.799	9.089	5.463	128.693
51	57	255	1165.184	738.412	27.213	9.004	8.060	55.131
52	48	255	290.188	737.625	25.556	8.235	7.422	19.829
53	40	255	135.525	732.875	24.971	9.540	5.338	80.819
54	41	255	618.963	732.939	24.385	8.809	5.926	46.491
55	28	255	398.000	732.000	18.142	6.711	5.312	134.999
56	27	255	770.981	730.500	20.728	7.262	4.734	93.977
57	1	255	1189.500	730.500	2.828	1.128	1.128	0.000
58	47	255	437.223	725.777	26.385	10.698	5.594	157.276
59	30	255	1188.500	726.533	20.728	6.684	5.715	165.147
60	29	255	337.017	722.224	20.142	7.474	4.941	8.824
61	65	255	549.638	717.654	28.971	10.071	8.218	50.507
62	51	255	270.912	717.618	26.142	8.886	7.308	0.365
63	54	255	1207.944	711.148	25.799	8.584	8.009	110.100
64	66	255	959.985	703.985	32.627	9.999	8.404	94.228
65	42	255	43.214	699.286	23.556	7.948	6.728	5.281
66	39	255	1149.987	698.244	25.556	8.770	5.662	166.259
67	63	255	405.992	695.738	28.627	10.212	7.855	147.523
68	48	255	612.208	693.875	26.385	8.136	7.512	49.959
69	69	255	8.370	685.949	30.385	10.519	8.352	102.470
70	45	255	901.944	686.589	26.971	9.853	5.815	141.661
71	1	255	903.500	690.500	2.828	1.128	1.128	0.000
72	65	255	325.269	681.469	31.213	10.191	8.121	113.583
73	47	255	1220.053	682.436	24.728	9.347	6.402	81.776
74	72	255	563.472	681.125	31.799	10.153	9.029	84.597
75	40	255	169.050	671.525	23.556	7.736	6.583	29.074
76	49	255	321.684	670.071	24.971	8.598	7.256	132.992
77	54	255	128.500	667.370	26.971	9.513	7.227	66.591
78	28	255	820.714	666.071	20.142	7.266	4.907	20.702
79	51	255	1044.284	663.108	26.971	9.559	6.793	105.168
80	39	255	447.859	661.218	23.556	8.817	5.632	59.162
81	44	255	1118.432	659.432	27.799	9.757	5.742	87.327
82	34	255	1160.618	659.618	24.385	9.144	4.734	162.674
83	3	255	513.833	661.167	5.657	2.365	1.615	45.000
84	53	255	550.311	657.745	31.799	8.981	7.514	97.541
85	32	255	610.656	656.188	22.485	9.694	4.203	176.977
86	60	255	638.733	654.183	38.042	9.798	7.797	10.314
87	34	255	1107.941	653.176	20.728	6.824	6.343	108.435
88	40	255	1081.875	648.475	24.142	9.258	5.501	82.136
89	41	255	287.622	640.573	23.799	9.104	5.734	143.265
90	59	255	995.686	637.347	28.971	11.021	6.816	8.862
91	24	255	704.167	626.833	21.314	8.042	3.800	83.367
92	29	255	405.052	625.672	20.142	7.798	4.735	125.123
