 	Area	Mean	XM	YM	Perim.	Major	Minor	Angle
1	5	255	445.500	902.500	10.243	5.642	1.128	0.000
2	41	255	992.720	899.646	25.799	8.737	5.975	177.379
3	64	255	1078.516	895.125	30.385	10.776	7.562	93.944
4	47	255	382.883	894.330	28.627	9.588	6.241	121.207
5	2	255	388.000	895.000	5.657	2.596	0.981	135.000
6	39	255	7.500	888.269	22.385	7.684	6.462	11.832
7	67	255	288.694	886.515	29.799	9.912	8.606	9.511
8	28	255	662.786	886.679	20.142	7.967	4.475	121.729
9	30	255	686.700	886.233	23.799	7.867	4.856	92.821
10	35	255	724.386	876.443	24.971	9.358	4.762	135.661
11	47	255	1037.372	870.947	28.627	10.479	5.711	13.758
12	1	255	1215.500	874.500	2.828	1.128	1.128	0.000
13	79	255	379.981	866.348	32.627	10.830	9.288	65.538
14	84	255	430.357	864.190	34.042	12.358	8.655	72.458
15	47	255	568.521	864.138	28.627	8.780	6.816	137.340
16	52	255	904.038	864.038	36.385	10.798	6.131	178.438
17	71	255	771.951	858.331	40.627	10.931	8.270	105.188
18	64	255	1018.703	858.172	29.799	10.910	7.469	167.971
19	1	255	776.500	860.500	2.828	1.128	1.128	0.000
20	58	255	826.845	854.931	33.213	10.694	6.905	171.012
21	3	255	830.833	857.833	5.657	2.365	1.615	135.000
22	36	255	529.111	854.639	21.799	8.279	5.537	25.178
23	67	255	1182.381	852.455	28.971	9.476	9.002	110.809
24	27	255	538.870	852.463	20.142	6.956	4.942	145.193
25	41	255	936.207	846.695	23.799	8.842	5.904	44.506
26	63	255	470.278	839.611	28.385	9.993	8.027	131.093
27	20	255	812.000	835.900	16.728	5.575	4.567	67.211
28	14	255	807.571	835.643	13.071	5.443	3.275	97.161
29	86	255	172.767	823.419	34.042	11.454	9.560	147.846
30	33	255	755.803	823.197	20.485	7.041	5.968	45.001
31	49	255	378.378	817.092	30.385	11.200	5.570	138.266
32	27	255	486.278	819.352	18.728	6.236	5.513	62.785
33	31	255	508.210	818.113	22.142	8.366	4.718	86.249
34	81	255	1215.636	814.068	32.627	10.578	9.749	72.813
35	85	255	1050.453	813.865	34.042	11.702	9.248	42.922
36	38	255	536.395	813.763	22.385	7.710	6.276	108.459
37	53	255	799.594	807.500	36.870	10.739	6.284	142.840
38	2	255	805.000	807.500	4.243	2.257	1.128	0.000
39	69	255	863.964	799.935	29.556	10.709	8.204	74.578
40	33	255	716.167	798.712	25.556	7.672	5.476	161.575
41	48	255	515.625	795.042	26.385	8.722	7.007	127.319
42	11	255	274.864	789.682	12.485	4.170	3.358	86.942
43	28	255	615.179	787.321	22.971	8.722	4.087	131.114
44	56	255	285.125	773.321	27.213	8.728	8.170	37.334
45	70	255	185.957	769.043	31.456	12.346	7.219	42.963
46	34	255	293.618	770.088	21.314	7.509	5.765	24.863
47	12	255	502.417	763.750	13.314	4.627	3.302	150.945
48	41	255	298.110	759.866	26.385	9.744	5.357	141.821
49	41	255	148.744	755.500	22.142	7.258	7.193	90.000
50	29	255	954.948	755.810	20.728	7.106	5.196	136.842
51	5	255	153.900	756.700	7.657	3.144	2.025	71.565
52	66	255	323.636	751.833	44.042	11.220	7.489	137.797
53	58	255	595.448	752.672	28.971	9.857	7.492	160.075
54	55	255	1198.573	753.136	26.971	9.838	7.118	168.339
55	53	255	254.349	745.349	35.113	14.739	4.579	130.569
56	43	255	186.849	741.988	22.971	8.305	6.592	168.856
57	50	255	861.740	740.520	29.799	9.095	6.999	132.581
58	24	255	581.458	741.667	20.971	8.854	3.451	151.671
