 	Area	Mean	XM	YM	Perim.	Major	Minor	Angle
1	37	255	6.743	900.527	22.728	7.957	5.921	7.238
2	2	255	62.000	902.500	4.243	2.257	1.128	0.000
3	15	255	96.700	901.767	16.485	6.371	2.998	173.603
4	31	255	118.887	901.048	21.071	8.859	4.455	2.631
5	8	255	133.000	902.000	9.657	4.514	2.257	0.000
6	11	255	143.227	902.045	13.657	6.327	2.214	176.942
7	30	255	227.000	900.267	23.556	8.945	4.270	29.991
8	1	255	241.500	902.500	2.828	1.128	1.128	0.000
9	34	255	280.441	900.471	22.142	7.950	5.445	25.962
10	8	255	438.500	902.125	11.071	4.769	2.136	0.000
11	21	255	499.262	901.690	19.899	8.448	3.165	3.828
12	59	255	569.110	897.720	38.627	9.878	7.605	117.477
13	13	255	623.500	901.654	12.485	5.181	3.195	0.000
14	18	255	741.389	900.944	22.142	5.088	4.504	159.843
15	56	255	755.196	899.286	29.799	9.346	7.629	10.354
16	33	255	826.530	900.985	24.971	9.281	4.527	179.092
17	21	255	855.643	901.262	17.314	6.577	4.065	5.712
18	13	255	1146.808	902.115	17.071	7.741	2.138	1.772
19	33	255	601.955	897.712	23.799	8.448	4.973	122.628
20	83	255	795.355	898.404	34.385	13.648	7.743	5.346
21	42	255	973.952	897.357	29.213	9.667	5.532	43.539
22	36	255	269.222	897.639	24.142	8.247	5.558	25.504
23	40	255	380.250	897.200	29.213	8.988	5.667	22.629
24	52	255	454.096	895.615	28.385	11.323	5.847	24.392
25	36	255	656.528	896.833	31.213	8.366	5.479	8.542
26	65	255	81.700	894.392	28.385	9.364	8.838	55.310
27	56	255	363.714	894.661	34.284	11.520	6.189	17.372
28	60	255	427.917	894.133	27.799	9.317	8.199	73.758
29	38	255	594.316	894.447	25.799	10.318	4.689	121.738
30	35	255	243.671	894.443	24.385	9.290	4.797	31.923
31	63	255	526.913	893.976	31.456	11.754	6.824	160.461
32	44	255	613.886	893.386	26.971	9.336	6.001	75.385
33	45	255	894.767	893.878	27.213	9.170	6.248	151.188
34	50	255	21.420	892.020	25.556	8.755	7.271	84.640
35	62	255	37.081	893.258	29.799	11.459	6.889	1.847
36	49	255	640.459	893.684	28.627	9.854	6.331	17.809
37	71	255	838.782	893.190	31.799	12.516	7.223	8.075
38	28	255	1175.250	893.214	20.971	7.706	4.627	93.929
39	1	255	238.500	894.500	2.828	1.128	1.128	0.000
40	49	255	330.888	890.296	30.042	8.641	7.220	51.081
41	43	255	1160.221	889.384	32.627	8.834	6.198	144.477
42	50	255	978.080	888.380	29.799	8.672	7.341	85.618
43	43	255	62.895	888.337	25.799	9.079	6.030	15.644
44	46	255	149.087	888.239	26.385	8.921	6.565	27.541
45	77	255	270.032	887.552	30.971	10.474	9.360	174.559
46	58	255	344.138	885.914	33.213	10.286	7.179	60.837
47	63	255	969.611	886.246	27.799	9.181	8.737	55.810
48	55	255	124.082	885.118	26.971	9.452	7.409	49.157
49	55	255	1118.118	885.555	26.971	10.074	6.951	55.349
