 	Area	Mean	XM	YM	Perim.	Major	Minor	Angle
1	61	255	99.238	898.123	29.213	10.261	7.570	100.367
2	60	255	196.283	898.733	28.142	9.472	8.065	100.484
3	2	255	283.000	902.500	4.243	2.257	1.128	0.000
4	20	255	386.450	901.150	16.485	6.042	4.215	162.112
5	3	255	439.500	902.500	6.243	3.385	1.128	0.000
6	22	255	500.455	901.818	21.899	10.194	2.748	4.343
7	61	255	580.975	897.926	28.385	10.188	7.623	88.827
8	12	255	739.500	902.083	15.071	6.944	2.200	0.000
9	35	255	774.214	900.757	21.899	8.567	5.202	172.656
10	27	255	816.167	900.944	19.314	7.132	4.820	12.944
11	34	255	906.353	900.147	21.556	7.685	5.633	0.216
12	34	255	933.794	900.765	21.899	8.172	5.297	3.530
13	83	255	963.970	898.127	32.971	11.555	9.146	43.985
14	43	255	1023.663	899.988	27.556	10.030	5.458	156.173
15	4	255	1028.000	902.000	5.657	2.257	2.257	0.000
16	57	255	1036.465	898.605	27.799	10.374	6.996	51.932
17	26	255	1212.154	900.769	17.899	6.411	5.163	163.826
18	50	255	526.560	894.560	29.799	10.340	6.157	100.628
19	36	255	173.639	896.278	22.142	8.279	5.537	41.740
20	30	255	472.433	896.333	19.314	7.411	5.154	165.396
21	55	255	451.427	893.173	27.799	9.904	7.071	127.453
22	57	255	896.605	891.360	31.213	11.456	6.335	85.474
23	10	255	872.700	895.200	11.071	4.456	2.857	108.222
24	43	255	884.779	893.058	23.556	8.137	6.729	71.509
25	43	255	186.314	891.756	22.971	7.808	7.012	176.554
26	66	255	939.985	889.788	31.213	11.982	7.013	38.397
27	1	255	1017.500	894.500	2.828	1.128	1.128	0.000
28	36	255	1018.389	889.556	24.971	8.937	5.129	141.449
29	49	255	283.071	888.010	24.971	9.440	6.609	132.511
30	69	255	157.297	885.514	31.213	11.100	7.915	125.176
31	63	255	979.294	886.992	28.385	10.417	7.701	156.198
32	50	255	543.740	883.440	28.385	9.618	6.619	69.250
33	47	255	963.926	884.500	27.213	9.874	6.061	49.404
34	38	255	332.395	883.368	23.556	8.394	5.764	40.345
35	27	255	671.870	882.907	20.142	6.502	5.287	141.230
36	61	255	853.533	880.844	31.799	9.883	7.859	20.590
37	68	255	409.250	879.647	29.799	11.304	7.659	144.995
38	44	255	702.955	880.045	27.213	8.348	6.711	139.497
39	46	255	740.109	879.391	24.971	9.029	6.487	102.213
40	45	255	518.567	879.478	25.799	9.974	5.744	157.289
41	61	255	462.926	876.730	28.042	10.038	7.737	150.877
42	2	255	487.000	880.500	4.243	2.257	1.128	0.000
43	40	255	488.700	875.400	22.728	7.427	6.857	174.028
44	44	255	185.705	873.727	24.971	8.869	6.317	77.732
45	44	255	564.614	872.182	26.971	9.024	6.208	89.294
46	42	255	943.548	872.619	25.556	9.226	5.796	46.695
47	63	255	144.437	872.056	28.971	10.005	8.018	4.424
48	53	255	432.330	871.104	26.971	9.264	7.284	45.800
49	50	255	841.840	871.600	24.627	8.463	7.522	121.940
50	1	255	882.500	874.500	2.828	1.128	1.128	0.000
51	70	255	1071.757	870.186	29.799	10.245	8.699	165.628
52	48	255	885.750	870.083	27.799	9.719	6.288	2.834
53	67	255	957.485	869.037	29.799	10.421	8.186	116.761
54	107	255	73.453	864.836	38.385	14.176	9.610	91.190
55	60	255	706.883	868.083	27.799	9.701	7.875	163.981
56	56	255	474.911	865.768	29.799	9.093	7.841	98.454
57	79	255	1003.373	865.867	32.042	11.609	8.664	143.385
58	58	255	1204.828	866.638	28.142	9.896	7.463	67.161
59	63	255	285.230	865.325	28.627	10.320	7.773	28.502
60	55	255	575.300	864.227	28.042	9.125	7.674	31.457
61	49	255	1136.643	861.786	26.385	9.271	6.729	93.563
62	69	255	835.804	861.196	30.385	10.751	8.171	173.605
63	44	255	859.977	858.318	23.556	8.880	6.309	77.688
64	82	255	1112.793	858.171	32.385	10.446	9.995	56.798
65	36	255	602.000	858.722	22.142	8.515	5.383	13.436
66	38	255	1016.842	858.816	26.385	8.578	5.641	12.221
67	32	255	850.062	856.125	20.971	6.863	5.936	92.786
68	70	255	978.614	855.829	30.971	10.757	8.286	7.523
69	51	255	135.598	850.814	26.971	9.490	6.842	0.579
70	50	255	333.760	849.400	26.728	9.784	6.506	76.396
71	49	255	992.541	848.296	27.314	10.204	6.114	1.180
72	61	255	1088.287	845.959	28.142	10.533	7.374	92.099
73	41	255	1124.427	847.451	23.556	8.077	6.463	36.227
74	51	255	799.422	844.892	26.971	10.592	6.130	68.944
75	48	255	754.458	844.479	27.799	8.964	6.818	78.533
76	48	255	1138.500	845.438	26.142	9.966	6.132	21.098
77	57	255	433.114	842.939	27.213	9.845	7.372	154.461
78	38	255	1036.474	843.658	22.142	7.705	6.280	47.413
79	29	255	1150.224	844.672	20.971	7.778	4.747	11.515
80	46	255	1055.065	842.152	31.213	9.763	5.999	146.075
81	61	255	1099.959	840.975	28.971	9.995	7.771	63.365
82	54	255	925.593	838.852	26.385	10.024	6.859	109.146
83	51	255	380.402	836.912	28.385	9.721	6.680	92.025
84	65	255	1111.746	836.915	29.799	10.344	8.001	64.225
85	71	255	997.824	836.570	30.385	10.353	8.732	31.622
86	53	255	1129.632	835.142	25.556	8.577	7.868	49.452
87	58	255	1055.879	832.828	32.042	10.109	7.305	16.185
88	59	255	854.517	832.958	28.385	10.326	7.275	44.952
89	4	255	1052.000	836.000	5.657	2.257	2.257	0.000
90	35	255	1073.071	832.014	24.142	7.337	6.074	142.148
91	69	255	1013.659	829.819	29.799	9.534	9.215	53.605
92	44	255	1146.750	831.250	24.385	8.560	6.545	126.890
93	61	255	625.566	827.320	28.385	10.474	7.415	40.294
94	56	255	873.071	827.089	30.627	9.915	7.191	57.788
95	72	255	171.264	826.278	31.456	12.063	7.600	143.368
96	55	255	358.391	826.045	26.385	9.198	7.613	178.334
97	61	255	561.369	825.139	27.799	9.090	8.544	175.554
98	36	255	889.167	826.528	22.971	8.620	5.317	42.049
99	66	255	1137.591	825.152	35.456	13.035	6.447	149.391
100	53	255	761.142	823.858	25.556	9.221	7.318	45.001
101	66	255	1066.136	823.636	34.042	10.090	8.328	0.494
102	43	255	1054.895	822.244	27.799	8.991	6.089	146.219
103	88	255	1116.068	820.909	34.627	12.001	9.337	113.855
104	63	255	654.865	820.325	29.213	10.745	7.465	107.009
105	53	255	726.066	821.142	26.971	9.090	7.423	104.901
106	44	255	1037.682	822.500	31.799	9.531	5.878	33.533
107	36	255	188.444	819.028	21.556	8.152	5.623	108.736
108	52	255	1078.558	817.635	28.385	11.356	5.830	104.101
109	42	255	370.190	815.000	24.971	9.136	5.853	178.086
110	66	255	1063.439	812.530	28.971	9.497	8.848	38.118
111	49	255	784.704	810.765	26.971	9.586	6.508	74.679
112	47	255	102.947	811.266	24.385	7.890	7.585	38.503
113	42	255	710.000	812.000	23.314	8.560	6.247	7.930
114	1	255	782.500	814.500	2.828	1.128	1.128	0.000
115	69	255	984.094	809.732	30.385	10.724	8.192	96.766
116	78	255	1004.782	810.295	31.799	10.827	9.172	132.384
117	41	255	150.085	810.671	23.556	8.239	6.336	147.951
118	55	255	671.373	810.245	26.385	9.703	7.217	178.921
119	49	255	693.541	810.684	25.799	9.108	6.850	8.997
120	58	255	742.017	809.621	27.799	9.928	7.438	140.738
121	24	255	839.625	810.833	16.728	6.111	5.001	70.395
122	20	255	937.450	811.450	18.142	6.989	3.644	144.570
123	72	255	1050.958	808.389	30.870	10.823	8.471	131.012
124	71	255	1132.697	810.021	32.385	12.635	7.155	4.721
125	98	255	489.418	807.031	36.042	13.236	9.427	156.192
126	65	255	1102.869	807.669	31.799	11.280	7.337	168.439
127	47	255	557.649	805.798	27.213	11.033	5.424	34.044
128	2	255	844.000	809.500	4.243	2.257	1.128	0.000
129	43	255	1165.128	806.802	29.799	8.934	6.128	158.539
130	1	255	842.500	807.500	2.828	1.128	1.128	0.000
131	47	255	961.457	803.840	24.728	8.565	6.987	105.834
132	1	255	1030.500	807.500	2.828	1.128	1.128	0.000
133	33	255	354.561	804.682	21.314	7.982	5.264	2.699
134	69	255	893.891	801.587	30.385	11.231	7.822	81.265
135	22	255	1032.455	803.955	17.314	5.991	4.675	45.685
136	48	255	683.021	800.729	26.142	8.701	7.024	33.815
137	87	255	727.511	798.443	34.042	12.008	9.224	135.376
138	59	255	1152.754	799.686	27.556	9.267	8.106	99.100
139	81	255	544.846	798.981	35.213	12.640	8.159	3.608
140	48	255	710.604	798.854	24.728	8.641	7.073	118.744
141	2	255	1018.500	802.000	4.828	2.257	1.128	90.000
142	38	255	1022.737	799.421	25.899	9.583	5.049	14.238
143	2	255	1162.500	801.000	4.828	2.257	1.128	90.000
144	57	255	865.956	796.553	30.627	9.922	7.314	34.789
145	61	255	928.926	794.975	28.971	10.654	7.290	113.056
146	53	255	1186.387	793.179	26.142	8.700	7.757	122.542
147	47	255	324.372	791.777	24.385	8.226	7.275	147.993
148	51	255	693.147	791.598	25.556	8.842	7.344	29.326
149	86	255	995.198	791.233	33.799	11.512	9.512	9.334
150	64	255	1032.938	790.750	28.385	9.742	8.364	96.864
151	34	255	121.618	791.206	22.142	7.729	5.601	171.000
152	70	255	677.300	789.000	30.385	10.791	8.259	62.397
153	42	255	742.333	787.429	25.556	10.082	5.304	70.180
154	63	255	754.976	788.722	29.213	11.166	7.184	141.591
155	80	255	361.387	785.263	33.213	12.429	8.196	117.381
156	64	255	820.500	787.000	29.799	10.810	7.538	15.162
157	53	255	772.104	784.274	34.042	10.488	6.434	29.413
158	43	255	1155.616	784.849	26.971	9.991	5.480	7.133
159	46	255	562.370	783.022	24.971	8.883	6.593	52.724
160	77	255	709.734	781.383	31.799	10.981	8.928	108.800
161	58	255	1167.603	781.828	34.627	11.171	6.611	77.867
162	1	255	1195.500	786.500	2.828	1.128	1.128	0.000
163	39	255	1198.987	782.654	24.385	7.593	6.540	37.190
164	67	255	112.709	780.873	32.627	10.915	7.815	167.252
165	49	255	278.806	780.276	25.799	10.098	6.179	136.391
166	69	255	979.993	780.529	42.042	10.552	8.325	179.735
167	31	255	149.016	780.855	20.142	6.744	5.853	27.927
168	44	255	731.159	780.455	26.728	9.592	5.840	37.543
169	35	255	1130.929	781.243	22.728	9.149	4.871	10.472
170	58	255	386.293	778.603	29.213	10.031	7.362	164.764
171	3	255	726.833	781.833	5.657	2.365	1.615	135.000
172	47	255	517.606	776.649	24.385	9.135	6.551	63.644
173	55	255	692.755	777.518	32.385	9.755	7.179	4.139
174	72	255	501.333	774.681	29.799	10.133	9.047	124.995
175	73	255	532.295	774.473	31.799	11.450	8.118	102.842
176	70	255	602.171	774.400	31.799	10.824	8.234	89.818
177	74	255	740.122	772.689	43.213	11.371	8.286	94.710
178	75	255	351.100	772.980	31.213	10.345	9.231	33.957
179	60	255	366.500	770.000	28.627	9.869	7.740	91.601
180	71	255	828.092	768.514	30.971	11.663	7.751	75.681
181	46	255	993.239	768.609	33.213	8.763	6.684	70.310
182	74	255	671.284	768.216	31.213	10.844	8.688	160.412
183	67	255	685.604	767.351	30.385	11.316	7.538	107.553
184	83	255	1030.934	767.922	36.627	10.373	10.187	105.063
185	53	255	769.236	767.462	25.556	9.249	7.296	89.231
186	101	255	1149.728	766.678	36.627	12.130	10.602	159.761
187	43	255	541.128	766.849	24.385	7.562	7.240	11.402
188	40	255	659.425	767.450	22.728	7.405	6.877	160.206
189	65	255	715.685	766.192	28.385	9.406	8.798	16.893
190	81	255	111.191	764.809	33.799	12.502	8.249	172.613
191	54	255	378.389	764.519	27.213	9.669	7.111	147.333
