 	Area	Mean	XM	YM	Perim.	Major	Minor	Angle
1	3	255	449.500	902.500	6.243	3.385	1.128	0.000
2	19	255	1222.605	897.500	16.485	7.375	3.280	90.000
3	20	255	1169.500	887.950	17.556	5.634	4.520	31.636
4	36	255	524.639	880.083	32.042	8.188	5.598	91.012
5	55	255	809.282	877.355	26.971	8.822	7.938	102.182
6	51	255	268.324	872.147	34.042	11.072	5.865	50.889
7	41	255	932.524	870.159	28.627	9.114	5.728	83.617
8	46	255	163.935	867.891	26.385	10.657	5.496	10.035
9	59	255	1140.822	863.263	30.870	11.032	6.810	105.677
10	72	255	281.764	862.333	30.385	9.972	9.193	164.202
11	51	255	761.441	857.108	25.556	9.135	7.108	104.645
12	40	255	706.725	857.175	22.728	8.269	6.159	14.515
13	30	255	1000.600	852.200	22.971	7.370	5.183	86.007
14	36	255	1194.861	849.278	24.728	9.633	4.758	8.466
15	62	255	822.452	845.194	27.799	9.346	8.447	152.269
16	1	255	377.500	845.500	2.828	1.128	1.128	0.000
17	56	255	377.696	840.875	30.971	9.443	7.551	171.889
18	33	255	651.106	833.106	24.971	6.682	6.288	170.265
19	48	255	86.417	826.062	24.971	8.976	6.809	113.151
20	19	255	623.395	826.868	18.971	6.212	3.894	130.948
21	12	255	0.917	813.500	15.657	6.944	2.200	90.000
22	20	255	76.650	803.400	20.142	6.031	4.223	59.154
23	27	255	46.352	803.574	18.142	6.722	5.114	0.506
24	41	255	619.695	792.988	24.971	9.270	5.632	162.880
25	32	255	1094.156	793.125	22.142	6.426	6.340	22.758
26	56	255	367.964	784.946	28.971	11.093	6.427	89.339
27	41	255	59.427	782.939	25.556	9.542	5.471	158.395
28	34	255	536.676	781.706	20.971	7.593	5.701	144.164
29	46	255	513.109	778.587	26.385	9.757	6.003	68.825
30	34	255	972.500	764.000	23.556	8.054	5.375	3.904
31	39	255	115.526	759.218	24.385	9.972	4.979	151.369
32	35	255	841.500	749.100	25.556	8.300	5.369	137.797
33	1	255	842.500	753.500	2.828	1.128	1.128	0.000
34	34	255	217.941	744.676	21.799	7.323	5.912	144.442
35	66	255	690.348	743.030	29.799	10.572	7.949	117.024
36	30	255	229.267	742.467	22.385	9.154	4.173	15.212
37	41	255	746.622	739.939	22.728	8.197	6.368	6.438
38	47	255	96.053	737.904	25.556	10.433	5.736	166.955
39	74	255	118.595	734.797	29.799	10.158	9.275	73.426
40	39	255	617.679	733.705	26.385	9.223	5.384	100.389
41	26	255	748.885	723.346	21.556	6.270	5.280	43.955
42	1	255	1017.500	726.500	2.828	1.128	1.128	0.000
43	35	255	1017.614	721.700	24.971	8.032	5.548	139.163
44	56	255	759.571	719.643	27.556	9.355	7.622	80.315
45	41	255	177.622	718.817	25.799	8.819	5.920	137.759
46	46	255	904.152	715.957	31.799	9.204	6.364	132.099
47	29	255	1143.466	714.500	23.556	7.766	4.755	90.000
48	45	255	821.500	712.500	23.314	7.569	7.569	0.000
49	35	255	306.929	711.557	22.385	8.995	4.954	29.273
50	29	255	1002.672	703.810	19.556	6.646	5.556	89.015
51	71	255	101.458	692.951	30.385	11.433	7.907	4.561
52	36	255	224.889	691.389	22.728	8.366	5.479	12.354
53	32	255	573.938	688.406	22.728	7.880	5.171	119.388
54	1	255	576.500	692.500	2.828	1.128	1.128	0.000
55	27	255	844.870	686.981	19.314	6.223	5.524	85.340
56	35	255	353.443	685.014	22.971	6.807	6.546	40.963
57	46	255	544.435	682.696	29.556	8.885	6.592	133.003
58	1	255	547.500	685.500	2.828	1.128	1.128	0.000
59	40	255	614.750	681.925	25.799	8.712	5.846	150.002
60	43	255	417.174	676.663	23.556	7.748	7.066	176.443
61	48	255	183.750	674.500	24.142	8.281	7.380	0.000
62	34	255	791.588	672.559	26.385	8.656	5.001	105.495
63	51	255	776.441	671.265	27.799	9.231	7.034	112.004
64	33	255	63.924	670.288	22.142	7.694	5.461	52.869
65	42	255	359.000	667.714	24.385	8.649	6.183	133.101
66	25	255	1012.620	667.180	22.385	7.166	4.442	77.343
67	1	255	795.500	670.500	2.828	1.128	1.128	0.000
68	33	255	1207.258	667.167	22.385	7.456	5.635	124.711
69	32	255	233.344	665.531	22.971	7.706	5.287	179.302
70	20	255	976.750	664.650	15.899	6.101	4.174	129.670
71	62	255	4.387	660.371	28.385	10.238	7.710	138.088
72	37	255	643.635	654.797	21.556	7.309	6.445	24.257
73	25	255	1031.140	653.620	17.899	6.404	4.970	24.831
74	38	255	1060.763	650.947	25.799	7.156	6.762	23.969
75	51	255	500.500	648.559	25.556	9.379	6.924	159.868
76	50	255	570.260	648.240	34.284	9.534	6.677	5.432
77	30	255	622.467	645.767	19.556	7.146	5.345	150.828
78	75	255	1079.967	644.180	31.799	10.812	8.832	143.801
79	43	255	1030.012	639.430	23.556	8.919	6.138	158.720
80	28	255	508.429	638.786	18.728	6.786	5.253	81.993
81	38	255	1085.447	631.526	23.556	7.385	6.551	121.601
82	34	255	223.500	630.265	22.971	9.181	4.715	140.165
83	43	255	428.453	630.244	24.971	9.400	5.824	31.341
84	33	255	151.773	625.470	21.556	8.462	4.965	132.008
85	42	255	376.714	625.905	24.142	9.273	5.767	13.505
86	44	255	713.659	603.795	28.385	7.956	7.042	140.851
87	33	255	780.894	588.803	20.971	7.349	5.717	10.296
88	22	255	552.409	586.182	18.971	5.713	4.903	34.188
89	52	255	31.596	584.731	26.142	9.392	7.049	18.117
90	50	255	13.540	579.420	25.556	9.425	6.755	13.876
91	41	255	724.988	576.427	23.799	9.093	5.741	44.689
92	63	255	735.563	575.389	28.385	9.623	8.336	40.154
93	65	255	41.131	568.377	30.627	10.841	7.634	99.139
94	19	255	556.605	570.447	15.314	6.158	3.929	141.916
95	28	255	16.107	567.893	25.799	6.873	5.187	159.472
96	53	255	1054.519	566.311	28.627	8.383	8.050	92.424
97	68	255	702.279	560.132	30.971	11.295	7.666	82.571
98	25	255	1177.700	559.620	20.728	8.240	3.863	116.630
99	30	255	407.033	557.400	21.556	8.546	4.470	116.849
100	40	255	632.325	554.450	22.142	7.315	6.962	59.230
101	57	255	1208.114	553.096	26.971	8.892	8.162	112.296
102	37	255	1093.932	549.905	22.971	8.482	5.554	155.714
103	33	255	415.288	545.045	22.385	8.378	5.015	156.498
104	41	255	949.256	543.720	28.385	8.906	5.862	143.658
105	43	255	1056.081	541.733	30.042	9.368	5.844	44.508
106	43	255	189.384	536.244	23.556	8.187	6.688	119.425
107	41	255	203.305	535.622	25.556	7.912	6.598	114.043
108	41	255	285.695	533.817	30.042	8.625	6.052	40.502
109	22	255	831.909	529.773	18.971	6.384	4.388	115.986
110	52	255	731.000	525.500	25.314	8.682	7.626	0.000
111	23	255	540.587	514.674	20.142	8.087	3.621	158.854
112	60	255	1019.667	511.617	28.627	11.260	6.785	39.398
113	2	255	930.500	513.000	4.828	2.257	1.128	90.000
114	23	255	1157.674	511.500	16.485	5.433	5.390	90.000
115	17	255	928.912	508.618	13.899	5.229	4.140	105.172
116	32	255	876.156	507.125	22.142	6.569	6.203	173.483
117	40	255	480.225	498.000	24.385	8.083	6.300	90.421
118	29	255	885.190	496.707	19.556	7.926	4.659	148.384
119	26	255	779.308	485.269	18.971	6.607	5.011	130.968
120	36	255	840.361	476.361	28.728	8.856	5.176	101.321
121	46	255	300.565	467.500	25.799	9.468	6.186	0.000
122	29	255	47.879	464.776	20.971	8.750	4.220	125.558
123	62	255	745.758	460.952	28.385	9.128	8.648	47.964
124	54	255	232.167	448.037	27.799	10.833	6.347	63.429
125	43	255	875.128	447.616	26.385	9.466	5.784	109.989
126	13	255	1.346	443.808	16.728	5.877	2.817	92.720
127	40	255	491.200	435.000	28.042	8.698	5.856	29.684
128	31	255	738.758	435.855	19.556	6.640	5.944	154.198
129	44	255	797.523	434.841	23.556	8.475	6.610	120.234
130	55	255	237.482	431.682	26.971	9.238	7.581	35.225
131	30	255	1159.333	432.200	21.556	8.442	4.525	140.459
132	52	255	50.327	429.346	24.971	9.220	7.181	5.018
133	48	255	578.417	423.771	30.971	8.339	7.329	101.265
134	41	255	1221.061	420.768	24.728	7.325	7.127	91.230
135	62	255	977.887	418.290	28.142	9.501	8.308	88.608
136	57	255	207.553	414.500	26.971	10.092	7.192	6.986
137	26	255	547.077	413.923	19.556	6.675	4.960	138.289
138	34	255	1064.941	406.147	24.971	7.031	6.157	133.557
139	40	255	228.800	399.750	23.799	7.737	6.582	135.586
140	39	255	1019.936	397.218	26.971	9.545	5.203	87.529
141	27	255	573.870	398.722	19.314	6.134	5.604	14.991
142	49	255	1211.990	396.724	25.213	8.492	7.346	96.394
143	36	255	441.583	395.389	21.556	7.827	5.856	141.070
144	28	255	522.857	390.286	21.556	8.439	4.225	60.509
145	42	255	683.143	385.548	25.556	9.989	5.354	3.949
146	26	255	667.038	384.962	18.728	7.633	4.337	137.562
147	27	255	604.241	384.574	22.971	7.951	4.324	165.152
148	28	255	326.250	383.286	22.971	6.919	5.153	172.409
149	50	255	180.620	378.540	26.971	9.290	6.853	76.281
