 	Area	Mean	XM	YM	Perim.	Major	Minor	Angle
1	32	255	154.781	892.562	22.971	8.899	4.578	73.167
2	36	255	162.194	893.139	24.971	8.741	5.244	83.705
3	34	255	637.147	880.706	22.142	7.952	5.444	113.375
4	22	255	1156.864	872.636	18.728	6.196	4.521	33.934
5	53	255	187.915	860.104	28.142	10.951	6.162	2.631
6	49	255	967.582	829.745	24.971	8.181	7.626	92.046
7	65	255	222.438	785.654	29.799	10.429	7.936	85.894
8	63	255	230.548	784.881	28.385	9.919	8.087	85.329
9	38	255	240.342	767.658	21.556	8.058	6.004	45.001
10	65	255	122.423	763.638	29.556	11.440	7.234	97.047
11	9	255	1135.833	765.389	9.899	3.919	2.924	20.301
12	22	255	604.455	759.591	16.485	6.006	4.664	40.583
13	43	255	953.128	743.686	32.042	8.364	6.546	44.488
14	35	255	378.414	730.671	22.971	8.637	5.160	95.886
15	41	255	819.134	729.573	28.385	8.928	5.847	148.994
16	53	255	974.708	725.689	25.799	8.924	7.561	8.374
17	53	255	161.764	714.538	25.799	8.691	7.765	158.795
18	63	255	1083.976	712.357	29.213	10.958	7.320	145.725
19	51	255	896.578	696.598	26.971	9.605	6.761	172.256
20	1	255	919.500	683.500	2.828	1.128	1.128	0.000
21	36	255	1207.250	675.333	24.142	8.375	5.473	156.046
22	28	255	740.500	666.714	23.799	6.927	5.146	44.199
23	46	255	671.326	627.826	27.556	8.596	6.813	59.173
24	38	255	819.368	585.553	21.556	7.756	6.238	38.080
25	4	255	1061.000	586.000	5.657	2.257	2.257	0.000
26	29	255	342.431	563.534	19.899	7.381	5.003	115.665
27	55	255	481.827	554.591	27.556	10.217	6.854	85.922
28	46	255	752.761	538.543	24.971	9.541	6.138	26.603
29	61	255	624.205	529.434	27.799	9.052	8.580	38.805
30	46	255	113.130	514.457	24.142	8.369	6.998	153.322
31	26	255	843.154	514.654	17.899	6.366	5.200	3.508
32	29	255	468.672	485.259	21.314	7.821	4.721	72.009
33	48	255	483.375	474.458	24.971	8.557	7.142	8.309
34	47	255	693.032	464.138	26.142	10.087	5.933	168.310
35	1	255	1008.500	460.500	2.828	1.128	1.128	0.000
36	18	255	1091.500	443.611	14.728	5.378	4.261	160.976
37	82	255	174.402	431.622	34.971	13.074	7.985	94.821
38	22	255	1158.864	396.636	36.042	6.097	4.595	109.876
39	43	255	708.105	353.035	25.213	9.460	5.787	28.340
40	81	255	983.451	340.735	32.971	11.737	8.787	112.329
41	48	255	779.979	324.792	28.627	8.502	7.189	74.583
42	40	255	53.375	278.875	23.556	8.627	5.903	118.738
43	77	255	120.227	276.032	32.385	11.652	8.414	128.640
44	34	255	1182.471	277.324	28.627	7.033	6.155	9.496
45	38	255	826.526	163.553	24.971	9.628	5.025	159.206
46	4	255	992.000	164.000	5.657	2.257	2.257	0.000
47	73	255	281.336	152.007	32.385	12.091	7.687	6.324
48	29	255	99.293	140.638	19.314	7.348	5.025	72.344
49	43	255	399.802	113.942	28.385	9.007	6.079	78.955
50	7	255	170.500	107.214	9.071	3.086	2.888	0.000
51	41	255	1081.963	88.280	34.870	9.109	5.731	61.737
52	78	255	998.423	57.577	32.627	12.507	7.940	125.529
53	49	255	423.500	54.786	25.556	9.275	6.727	66.228
54	50	255	1059.440	49.340	25.799	8.152	7.810	11.809
55	31	255	944.790	44.726	24.385	8.785	4.493	2.203
56	24	255	958.875	40.833	19.314	7.519	4.064	99.259
57	3	255	773.833	10.833	5.657	2.365	1.615	135.000
58	44	255	858.023	1.818	30.971	9.460	5.922	173.756
59	13	255	1178.115	3.346	19.556	6.301	2.627	6.225
60	24	255	962.292	0.792	17.899	7.218	4.233	174.094
