 	Area	Mean	XM	YM	Perim.	Major	Minor	Angle
1	3267	255	640.051	417.544	373.304	105.249	39.522	171.844
2	13	255	561.962	428.885	17.314	6.492	2.550	77.029
3	1824	255	719.484	383.427	225.220	78.835	29.459	131.346
4	1	255	736.500	405.500	2.828	1.128	1.128	0.000
5	132	255	744.568	399.159	51.698	18.279	9.195	170.257
6	21	255	754.881	394.929	17.899	6.052	4.418	8.350
7	4	255	760.750	392.500	7.657	2.734	1.863	90.000
8	1	255	797.500	388.500	2.828	1.128	1.128	0.000
9	918	255	581.258	350.061	196.978	93.748	12.468	51.998
10	27	255	808.500	380.870	35.456	8.950	3.841	165.076
11	2	255	800.000	382.000	5.657	2.596	0.981	135.000
12	4	255	821.000	377.000	5.657	2.257	2.257	0.000
13	1	255	820.500	373.500	2.828	1.128	1.128	0.000
14	2720	255	811.346	327.710	330.250	148.591	23.307	162.419
15	4	255	850.500	357.000	7.071	3.216	1.583	148.283
16	6	255	856.500	355.667	11.071	4.630	1.650	0.000
17	35	255	862.786	351.700	34.627	9.040	4.930	157.680
18	1	255	855.500	353.500	2.828	1.128	1.128	0.000
19	1	255	869.500	351.500	2.828	1.128	1.128	0.000
20	116	255	876.034	342.216	55.841	20.638	7.156	142.484
21	1069	255	900.370	310.285	177.338	47.290	28.782	146.316
22	1194	255	551.436	261.884	252.184	124.778	12.184	85.339
23	2009	255	960.079	277.613	281.706	75.891	33.706	148.207
24	1226	255	1042.493	257.980	219.924	99.943	15.619	162.161
25	2490	255	1160.367	219.714	344.250	157.775	20.094	158.593
26	539	255	1001.552	212.131	140.953	64.053	10.714	114.235
27	1318	255	554.821	134.331	287.782	130.248	12.884	100.889
28	134	255	1015.291	178.328	46.385	15.892	10.736	116.600
29	457	255	1011.585	152.358	116.083	34.840	16.701	42.557
30	963	255	584.691	37.240	199.095	91.593	13.387	110.638
