 	Area	Mean	XM	YM	Perim.	Major	Minor	Angle
1	142	255	1062.915	787.204	47.456	17.824	10.144	16.630
2	101	255	58.688	770.975	36.385	12.682	10.140	157.073
3	62	255	1056.194	707.355	28.971	10.483	7.530	163.844
4	57	255	1051.675	700.465	28.627	9.643	7.526	140.169
5	39	255	1060.500	697.628	24.971	8.122	6.114	122.595
6	1	255	361.500	555.500	2.828	1.128	1.128	0.000
7	91	255	1150.412	467.016	34.870	11.433	10.134	130.477
8	99	255	1064.530	426.914	36.971	13.404	9.404	81.267
9	76	255	957.711	124.408	30.971	10.369	9.332	15.577
10	92	255	810.826	116.152	37.456	11.940	9.811	115.015
