 	Area	Mean	XM	YM	Perim.	Major	Minor	Angle
1	32	255	598.125	901.438	28.728	10.983	3.710	6.669
2	112	255	194.875	888.491	38.870	12.862	11.087	45.452
3	72	255	508.458	890.125	30.971	11.462	7.998	162.622
4	76	255	525.829	877.737	31.556	10.415	9.291	164.971
5	65	255	85.562	874.962	28.728	9.816	8.431	18.349
6	54	255	685.463	873.981	28.627	9.170	7.498	98.735
7	121	255	1052.607	873.202	40.042	13.303	11.581	152.147
8	86	255	473.430	865.977	33.213	11.541	9.488	148.172
9	74	255	837.932	865.054	31.799	11.982	7.864	101.971
10	142	255	49.528	861.254	49.941	14.727	12.277	72.405
11	54	255	689.074	864.704	26.385	8.749	7.858	151.857
12	126	255	177.722	862.516	48.284	17.757	9.035	2.269
13	80	255	494.050	861.538	33.799	11.981	8.502	80.107
14	49	255	21.561	861.459	28.627	8.250	7.563	106.211
15	77	255	514.162	860.565	31.556	10.723	9.143	23.406
16	64	255	91.125	856.031	28.971	10.258	7.944	19.467
17	68	255	177.191	854.103	31.213	10.388	8.335	0.225
18	227	255	530.412	842.967	62.770	18.376	15.729	58.335
19	98	255	704.327	838.980	36.042	13.291	9.388	22.156
20	76	255	222.184	832.974	32.385	10.967	8.823	74.038
21	76	255	114.487	831.579	31.213	11.454	8.448	157.473
22	69	255	27.906	826.848	29.799	9.981	8.802	0.745
23	92	255	21.272	818.522	34.627	11.515	10.173	133.350
24	60	255	587.617	819.033	28.971	9.793	7.801	23.886
25	4	255	390.500	815.750	7.071	2.734	1.863	0.000
26	95	255	615.647	810.479	34.627	11.981	10.096	136.604
27	76	255	1118.684	803.395	32.385	11.687	8.280	116.290
28	55	255	179.391	803.409	26.385	9.326	7.509	73.279
29	82	255	60.244	796.110	33.213	11.932	8.750	1.139
30	57	255	1161.254	790.219	27.456	8.797	8.250	15.990
31	55	255	12.900	789.700	26.627	8.621	8.123	50.428
32	37	255	1154.743	785.554	22.142	8.437	5.584	129.201
33	48	255	18.354	783.792	25.799	8.941	6.835	55.773
34	230	255	192.357	779.013	63.598	17.995	16.273	150.347
35	44	255	9.045	781.750	23.799	7.958	7.040	146.078
36	1	255	847.500	783.500	2.828	1.128	1.128	0.000
37	30	255	1164.367	781.667	20.142	7.444	5.131	9.635
38	82	255	1004.707	776.744	33.213	11.915	8.763	74.988
39	29	255	684.224	775.741	22.385	7.266	5.082	162.076
40	57	255	113.570	773.851	26.385	9.072	8.000	5.759
41	66	255	463.939	769.667	30.627	10.052	8.360	15.939
