 	Area	Mean	XM	YM	Perim.	Major	Minor	Angle
1	9	255	11.167	902.167	13.071	5.643	2.031	176.830
2	34	255	510.912	900.912	22.728	8.609	5.028	174.463
3	320	255	260.553	855.897	69.598	21.529	18.925	107.267
4	74	255	449.459	843.392	31.213	10.726	8.785	86.227
5	63	255	326.452	836.024	28.142	9.530	8.417	7.663
6	86	255	1053.860	833.826	34.870	12.349	8.867	141.609
7	79	255	938.981	828.905	32.627	10.868	9.255	40.648
8	86	255	1047.640	827.186	34.284	12.140	9.020	140.510
9	86	255	1130.593	825.430	33.799	11.761	9.310	89.886
10	66	255	740.439	825.591	28.971	9.296	9.040	154.427
11	99	255	853.399	804.076	36.042	12.444	10.129	147.312
12	72	255	709.194	803.681	30.971	10.340	8.866	81.030
13	80	255	906.300	804.013	32.627	11.570	8.804	40.888
14	75	255	620.833	787.540	31.799	11.918	8.013	114.132
15	56	255	954.732	776.946	28.385	8.606	8.285	12.413
16	56	255	134.429	772.464	26.728	9.661	7.380	168.874
17	94	255	932.723	765.415	34.627	11.757	10.179	130.094
18	66	255	1050.030	765.106	28.971	10.118	8.305	90.909
19	86	255	115.756	764.326	33.799	12.363	8.857	17.964
20	74	255	291.081	764.122	31.213	10.138	9.294	172.691
21	95	255	1220.300	741.721	41.799	13.214	9.154	81.999
22	70	255	1169.429	735.343	29.556	9.830	9.067	38.955
23	75	255	1135.993	703.073	31.213	11.096	8.606	137.508
24	90	255	31.922	670.589	33.799	11.352	10.095	112.158
25	34	255	642.529	661.588	20.971	6.749	6.415	71.565
26	38	255	633.526	660.105	22.728	7.611	6.357	50.363
27	48	255	193.083	657.229	25.213	9.150	6.679	51.677
28	59	255	352.364	622.178	27.556	10.293	7.298	93.080
29	101	255	996.876	612.213	36.385	12.452	10.328	87.411
30	77	255	12.461	603.162	31.213	11.555	8.484	61.396
31	75	255	156.313	593.007	32.385	11.909	8.018	92.153
32	89	255	904.657	581.624	35.456	12.111	9.356	39.873
33	111	255	225.644	580.797	38.627	13.215	10.695	71.491
34	5	255	1223.500	583.500	10.828	5.642	1.128	90.000
35	80	255	790.712	574.612	31.799	10.390	9.803	58.076
36	81	255	999.031	566.685	32.627	11.591	8.897	47.033
37	72	255	123.069	563.236	29.799	10.188	8.998	10.024
38	81	255	350.685	554.981	31.799	10.299	10.013	104.527
39	77	255	1211.591	511.799	31.456	11.401	8.599	147.548
40	93	255	606.371	447.511	34.971	12.355	9.584	168.865
41	72	255	1040.167	443.236	30.627	9.760	9.393	23.333
42	76	255	467.303	438.461	30.971	10.612	9.119	30.859
43	143	255	14.556	425.549	43.698	14.459	12.593	175.271
44	91	255	931.093	419.412	35.456	12.608	9.190	111.989
45	71	255	244.275	391.387	29.799	9.907	9.125	6.216
46	181	255	725.616	377.097	50.870	16.423	14.033	118.959
47	73	255	1211.103	338.760	30.971	10.580	8.785	169.702
48	83	255	1207.729	329.898	32.627	11.507	9.184	152.977
49	75	255	368.553	320.873	30.971	10.993	8.687	58.194
50	81	255	862.068	306.130	31.799	10.281	10.031	136.091
51	84	255	1174.714	295.595	33.213	12.210	8.760	179.745
52	52	255	359.615	278.500	28.385	9.217	7.183	132.820
53	102	255	658.235	271.667	38.042	14.116	9.200	164.598
54	105	255	222.671	216.729	37.456	12.733	10.499	133.537
55	79	255	706.082	212.601	32.385	11.938	8.426	81.337
56	252	255	1002.901	207.381	61.941	19.066	16.828	47.891
57	2	255	471.000	196.500	4.243	2.257	1.128	0.000
58	76	255	1197.658	181.421	31.213	10.563	9.161	167.524
59	69	255	605.500	179.500	28.971	9.373	9.373	0.000
60	80	255	870.575	173.550	32.284	11.346	8.978	134.506
61	51	255	864.578	167.578	25.556	9.130	7.112	135.000
62	77	255	79.331	164.266	32.627	11.271	8.698	59.099
63	88	255	400.784	160.534	34.627	12.245	9.150	115.281
64	75	255	828.127	155.687	30.627	10.111	9.444	143.480
65	69	255	1044.529	152.297	30.385	10.231	8.587	80.043
66	69	255	1035.268	151.080	29.799	9.993	8.792	104.370
67	71	255	540.106	144.669	30.385	10.757	8.403	94.040
68	106	255	142.698	122.255	38.284	13.258	10.180	35.271
69	114	255	1128.570	115.904	38.627	13.853	10.478	1.821
70	52	255	368.288	89.423	26.971	8.843	7.487	32.802
71	67	255	7.963	52.709	28.971	10.200	8.363	77.100
72	89	255	1126.770	48.860	34.042	12.281	9.227	136.630
73	125	255	62.252	20.148	40.284	13.453	11.831	76.751
