 	Area	Mean	XM	YM	Perim.	Major	Minor	Angle
1	232883	255	232.257	677.804	4565.408	705.187	420.478	42.887
2	25802	255	677.140	812.557	1015.235	205.910	159.546	83.939
3	132926	255	1017.021	755.348	3160.027	529.758	319.479	159.458
4	19	255	748.289	728.658	30.042	7.461	3.242	102.149
5	1	255	739.500	729.500	2.828	1.128	1.128	0.000
6	1	255	744.500	728.500	2.828	1.128	1.128	0.000
7	2	255	686.500	727.000	4.828	2.257	1.128	90.000
8	356	255	724.121	715.829	166.693	22.432	20.206	98.014
9	48	255	742.458	718.146	99.196	11.971	5.105	81.401
10	1	255	751.500	726.500	2.828	1.128	1.128	0.000
11	24	255	691.958	722.708	34.284	7.443	4.105	43.371
12	1	255	684.500	724.500	2.828	1.128	1.128	0.000
13	4	255	686.500	722.500	8.485	2.838	1.795	135.000
14	10	255	681.900	721.400	16.971	4.274	2.979	170.692
15	13	255	695.962	720.577	15.314	5.258	3.148	18.873
16	17	255	606.676	718.794	18.971	4.982	4.345	104.036
17	1	255	750.500	721.500	2.828	1.128	1.128	0.000
18	19	255	686.553	714.921	41.355	7.990	3.028	93.495
19	3	255	676.500	718.833	7.071	3.213	1.189	151.845
20	3	255	745.833	718.500	7.657	3.213	1.189	61.845
21	2	255	680.000	718.500	4.243	2.257	1.128	0.000
22	1	255	673.500	717.500	2.828	1.128	1.128	0.000
23	7	255	681.929	715.929	15.314	3.250	2.742	17.769
24	12	255	632.250	714.500	25.456	5.562	2.747	7.928
25	7	255	676.643	714.643	14.142	3.391	2.628	45.000
26	1	255	609.500	715.500	2.828	1.128	1.128	0.000
27	7	255	644.786	714.071	10.485	3.855	2.312	120.964
28	3	255	647.500	714.500	6.828	3.385	1.128	90.000
29	1	255	649.500	715.500	2.828	1.128	1.128	0.000
30	2	255	672.500	715.000	4.828	2.257	1.128	90.000
31	15	255	691.900	713.033	18.728	6.661	2.867	69.415
32	1	255	695.500	715.500	2.828	1.128	1.128	0.000
33	2	255	712.500	715.000	4.828	2.257	1.128	90.000
34	1	255	736.500	715.500	2.828	1.128	1.128	0.000
35	3	255	745.500	714.500	8.485	3.969	0.963	135.000
36	76	255	577.816	710.776	50.184	12.315	7.858	158.673
37	46	255	620.935	710.087	89.296	10.077	5.812	175.319
38	1	255	707.500	714.500	2.828	1.128	1.128	0.000
39	97	255	603.232	706.686	139.480	14.233	8.677	17.620
40	2	255	652.500	713.000	4.828	2.257	1.128	90.000
41	1	255	683.500	713.500	2.828	1.128	1.128	0.000
42	4	255	703.000	713.250	9.899	3.417	1.490	6.620
43	1	255	738.500	713.500	2.828	1.128	1.128	0.000
44	1	255	541.500	712.500	2.828	1.128	1.128	0.000
45	1	255	586.500	712.500	2.828	1.128	1.128	0.000
46	16	255	678.188	710.562	34.042	7.576	2.689	8.669
47	5	255	707.300	711.500	11.314	2.954	2.155	60.482
48	3	255	711.833	712.167	5.657	2.365	1.615	45.000
49	1	255	744.500	712.500	2.828	1.128	1.128	0.000
50	7	255	755.357	711.214	12.485	3.995	2.231	124.315
