 	Area	Mean	XM	YM	Perim.	Major	Minor	Angle
1	2	255	1021.000	902.500	4.243	2.257	1.128	0.000
2	2	255	1033.000	902.500	4.243	2.257	1.128	0.000
3	25	255	1046.900	899.740	32.385	7.376	4.315	102.897
4	16	255	1053.938	901.625	16.728	6.104	3.337	11.044
5	23	255	1061.065	900.848	18.485	6.867	4.264	13.698
6	14733	255	1157.394	852.115	729.345	167.574	111.942	155.902
7	1	255	1031.500	900.500	2.828	1.128	1.128	0.000
8	1	255	1040.500	900.500	2.828	1.128	1.128	0.000
9	42	255	1057.714	894.500	30.385	8.938	5.983	115.249
10	41	255	1064.500	891.646	40.284	9.714	5.374	116.683
11	1	255	1024.500	895.500	2.828	1.128	1.128	0.000
12	2	255	1034.000	894.500	4.243	2.257	1.128	0.000
13	2	255	1039.000	894.500	4.243	2.257	1.128	0.000
14	9	255	1050.722	892.611	11.071	4.200	2.729	60.482
15	4	255	1034.000	892.000	5.657	2.257	2.257	0.000
16	8	255	1045.500	889.000	10.485	3.489	2.919	90.000
17	1	255	1040.500	889.500	2.828	1.128	1.128	0.000
18	8	255	1052.750	888.000	10.485	4.501	2.263	68.645
19	2	255	1056.500	889.000	4.828	2.257	1.128	90.000
20	1	255	1038.500	888.500	2.828	1.128	1.128	0.000
21	2	255	1057.000	886.500	4.243	2.257	1.128	0.000
22	2	255	1057.000	882.500	4.243	2.257	1.128	0.000
23	2	255	1047.000	878.500	4.243	2.257	1.128	0.000
24	14	255	1069.000	876.214	20.142	5.153	3.459	52.498
25	19	255	1068.184	870.605	26.627	6.613	3.658	165.134
26	1	255	1061.500	870.500	2.828	1.128	1.128	0.000
27	9	255	1066.500	863.500	16.485	5.633	2.034	151.845
28	1	255	1056.500	863.500	2.828	1.128	1.128	0.000
29	3	255	1061.500	863.500	6.243	3.385	1.128	0.000
30	3	255	1066.167	857.167	5.657	2.365	1.615	135.000
31	29	255	1078.569	853.638	32.042	8.224	4.490	82.280
32	5	255	1070.300	855.700	8.485	3.461	1.839	135.000
33	4	255	976.000	854.500	7.657	3.216	1.583	121.717
34	1	255	1069.500	852.500	2.828	1.128	1.128	0.000
35	5	255	1072.300	850.500	8.485	3.086	2.063	34.099
36	16	255	1082.125	844.438	21.556	6.297	3.235	143.727
37	34	255	1075.824	842.382	35.456	8.233	5.258	144.003
38	1	255	1066.500	841.500	2.828	1.128	1.128	0.000
39	1	255	1063.500	838.500	2.828	1.128	1.128	0.000
40	1	255	1088.500	838.500	2.828	1.128	1.128	0.000
41	17	255	1091.088	835.206	22.385	9.746	2.221	54.918
42	11	255	1097.409	836.864	11.071	4.384	3.195	105.071
43	7	255	1103.357	838.214	11.071	4.647	1.918	4.308
44	3	255	1079.167	837.167	5.657	2.365	1.615	135.000
45	12	255	1084.000	835.000	11.314	3.909	3.909	0.000
46	4	255	1096.500	830.750	7.071	2.734	1.863	0.000
47	2	255	1084.000	830.500	4.243	2.257	1.128	0.000
48	6	255	1091.167	828.333	9.071	2.930	2.607	153.435
49	4	255	1100.000	829.000	5.657	2.257	2.257	0.000
50	1	255	1080.500	826.500	2.828	1.128	1.128	0.000
51	2	255	1100.000	823.500	4.243	2.257	1.128	0.000
52	1	255	1056.500	822.500	2.828	1.128	1.128	0.000
53	2	255	1076.000	822.500	4.243	2.257	1.128	0.000
54	4	255	1107.500	821.000	8.828	4.514	1.128	90.000
55	1	255	1079.500	820.500	2.828	1.128	1.128	0.000
56	1	255	1087.500	818.500	2.828	1.128	1.128	0.000
57	1	255	1063.500	815.500	2.828	1.128	1.128	0.000
58	1	255	1093.500	815.500	2.828	1.128	1.128	0.000
59	1	255	1104.500	815.500	2.828	1.128	1.128	0.000
60	3	255	1111.167	812.167	5.657	2.365	1.615	135.000
61	1	255	1085.500	811.500	2.828	1.128	1.128	0.000
62	68	255	1103.618	805.250	33.456	11.390	7.602	141.576
63	2	255	1112.000	806.500	4.243	2.257	1.128	0.000
64	1	255	1120.500	800.500	2.828	1.128	1.128	0.000
65	1	255	1088.500	799.500	2.828	1.128	1.128	0.000
66	1	255	1091.500	799.500	2.828	1.128	1.128	0.000
67	6	255	1143.333	798.000	10.485	3.479	2.196	65.817
68	2	255	1113.000	798.500	4.243	2.257	1.128	0.000
69	11	255	1137.682	796.136	11.899	4.170	3.358	176.942
70	6	255	1126.500	795.000	7.657	3.385	2.257	0.000
71	4	255	1145.250	791.750	7.657	3.192	1.596	161.565
72	3	255	1128.833	790.500	7.657	3.213	1.189	61.845
73	24	255	1138.583	787.750	33.456	6.207	4.923	81.886
74	4	255	1150.000	791.500	8.243	4.514	1.128	0.000
75	10	255	1144.500	788.000	10.485	4.444	2.865	116.565
76	6627	255	1193.950	731.033	566.943	127.479	66.190	94.443
77	22	255	1156.000	782.955	22.385	9.723	2.881	126.456
78	2	255	1121.500	785.000	4.828	2.257	1.128	90.000
79	7	255	1145.786	782.786	11.314	4.509	1.977	45.000
