 	Area	Mean	XM	YM	Perim.	Major	Minor	Angle
1	83	255	1063.392	893.729	34.627	11.023	9.587	28.261
2	65	255	359.900	892.546	28.627	9.888	8.369	161.795
3	101	255	1001.827	882.837	42.284	15.675	8.204	111.076
4	42	255	1009.429	885.571	24.385	9.130	5.857	117.277
5	192	255	476.089	856.969	58.184	17.319	14.115	179.536
6	69	255	310.804	859.312	29.799	10.156	8.651	61.589
7	88	255	766.261	739.386	34.042	11.333	9.886	123.887
8	70	255	814.086	666.400	29.799	9.785	9.108	1.111
9	65	255	1008.838	597.038	29.799	11.005	7.520	60.539
10	85	255	1199.382	588.206	33.799	11.169	9.690	149.245
11	83	255	942.849	558.042	33.799	11.563	9.140	82.080
12	78	255	1001.282	476.538	39.799	10.906	9.106	6.313
13	67	255	927.545	387.649	29.799	10.524	8.106	131.175
14	69	255	588.761	365.225	37.456	9.781	8.982	148.464
15	70	255	1198.500	329.000	30.971	10.285	8.666	2.095
16	75	255	582.660	286.353	31.213	11.539	8.276	121.962
17	60	255	39.267	259.367	32.627	8.979	8.508	77.357
18	112	255	1020.036	189.366	38.284	13.983	10.199	127.246
19	91	255	1155.753	184.951	34.627	12.130	9.552	158.998
20	103	255	83.432	175.607	37.456	13.845	9.472	122.950
21	85	255	1135.606	138.582	34.627	12.039	8.989	45.031
22	103	255	797.189	113.597	36.042	12.319	10.646	156.627
