 	Area	Mean	XM	YM	Perim.	Major	Minor	Angle
1	125016	255	160.182	716.537	2462.920	452.653	351.650	70.211
2	1	255	362.500	902.500	2.828	1.128	1.128	0.000
3	82	255	377.890	893.720	49.941	14.917	6.999	71.297
4	2	255	381.500	902.000	4.828	2.257	1.128	90.000
5	216	255	389.755	892.361	118.267	17.073	16.108	87.787
6	1	255	394.500	902.500	2.828	1.128	1.128	0.000
7	12	255	397.167	901.000	14.728	5.276	2.896	42.355
8	14	255	415.786	900.000	20.385	5.014	3.555	68.247
9	5	255	422.100	902.100	9.071	4.076	1.562	159.006
10	2	255	425.500	902.000	4.828	2.257	1.128	90.000
11	1	255	428.500	902.500	2.828	1.128	1.128	0.000
12	1	255	434.500	902.500	2.828	1.128	1.128	0.000
13	2	255	443.500	902.000	4.828	2.257	1.128	90.000
14	1	255	475.500	902.500	2.828	1.128	1.128	0.000
15	1	255	484.500	902.500	2.828	1.128	1.128	0.000
16	1	255	504.500	902.500	2.828	1.128	1.128	0.000
17	1	255	511.500	902.500	2.828	1.128	1.128	0.000
18	5	255	402.100	900.700	9.071	3.732	1.706	5.152
19	1	255	457.500	901.500	2.828	1.128	1.128	0.000
20	1	255	470.500	901.500	2.828	1.128	1.128	0.000
21	52	255	405.865	894.404	57.941	9.210	7.189	49.405
22	1	255	431.500	900.500	2.828	1.128	1.128	0.000
23	2	255	460.500	900.000	4.828	2.257	1.128	90.000
24	3	255	463.500	900.500	6.243	3.385	1.128	0.000
25	1	255	411.500	899.500	2.828	1.128	1.128	0.000
26	1	255	419.500	899.500	2.828	1.128	1.128	0.000
27	1	255	423.500	899.500	2.828	1.128	1.128	0.000
28	2	255	446.500	899.000	4.828	2.257	1.128	90.000
29	5	255	426.300	896.900	9.657	3.732	1.706	84.848
30	3	255	433.500	898.500	6.243	3.385	1.128	0.000
31	2	255	430.000	897.500	4.243	2.257	1.128	0.000
32	1	255	451.500	897.500	2.828	1.128	1.128	0.000
33	2	255	455.500	897.000	4.828	2.257	1.128	90.000
34	1	255	459.500	897.500	2.828	1.128	1.128	0.000
35	2	255	474.000	897.500	4.243	2.257	1.128	0.000
36	1	255	499.500	897.500	2.828	1.128	1.128	0.000
37	4	255	412.250	895.750	7.657	3.192	1.596	161.565
38	2	255	423.000	896.500	4.243	2.257	1.128	0.000
39	17	255	431.676	894.324	18.142	5.388	4.018	31.010
40	3	255	444.167	895.500	7.657	3.213	1.189	61.845
41	1	255	482.500	896.500	2.828	1.128	1.128	0.000
42	16	255	421.062	894.000	20.971	6.886	2.959	173.225
43	1	255	441.500	895.500	2.828	1.128	1.128	0.000
44	1	255	462.500	895.500	2.828	1.128	1.128	0.000
45	2	255	464.500	895.000	4.828	2.257	1.128	90.000
46	1	255	472.500	895.500	2.828	1.128	1.128	0.000
47	1	255	476.500	895.500	2.828	1.128	1.128	0.000
48	6	255	414.000	893.667	13.071	5.771	1.324	8.350
49	1	255	452.500	894.500	2.828	1.128	1.128	0.000
50	1	255	459.500	894.500	2.828	1.128	1.128	0.000
51	1	255	468.500	894.500	2.828	1.128	1.128	0.000
52	1	255	474.500	894.500	2.828	1.128	1.128	0.000
53	1	255	445.500	893.500	2.828	1.128	1.128	0.000
54	1	255	450.500	893.500	2.828	1.128	1.128	0.000
55	1	255	466.500	893.500	2.828	1.128	1.128	0.000
56	1	255	448.500	892.500	2.828	1.128	1.128	0.000
57	1	255	452.500	892.500	2.828	1.128	1.128	0.000
58	2	255	456.000	892.500	4.243	2.257	1.128	0.000
59	5	255	411.300	889.700	9.657	4.183	1.522	79.099
60	1	255	414.500	891.500	2.828	1.128	1.128	0.000
61	2	255	425.500	891.000	4.828	2.257	1.128	90.000
62	3	255	437.500	890.500	6.828	3.385	1.128	90.000
63	2	255	469.500	891.000	4.828	2.257	1.128	90.000
64	20	255	404.250	887.100	25.213	7.381	3.450	69.457
65	1	255	416.500	890.500	2.828	1.128	1.128	0.000
66	4	255	421.000	890.000	5.657	2.257	2.257	0.000
67	1	255	429.500	890.500	2.828	1.128	1.128	0.000
68	1	255	450.500	890.500	2.828	1.128	1.128	0.000
69	2	255	453.000	890.000	5.657	2.596	0.981	45.000
70	2	255	466.000	890.500	4.243	2.257	1.128	0.000
71	1	255	448.500	889.500	2.828	1.128	1.128	0.000
72	5	255	413.500	886.500	10.828	5.642	1.128	90.000
73	4	255	415.750	887.500	7.657	2.734	1.863	90.000
74	1	255	418.500	888.500	2.828	1.128	1.128	0.000
75	2	255	423.500	888.000	4.828	2.257	1.128	90.000
76	2	255	458.000	888.000	5.657	2.596	0.981	135.000
77	2	255	397.000	887.500	4.243	2.257	1.128	0.000
78	1	255	399.500	887.500	2.828	1.128	1.128	0.000
79	4	255	408.250	886.000	10.485	3.417	1.490	96.620
80	1	255	430.500	887.500	2.828	1.128	1.128	0.000
81	1	255	436.500	887.500	2.828	1.128	1.128	0.000
82	2	255	438.500	887.000	4.828	2.257	1.128	90.000
83	1	255	466.500	887.500	2.828	1.128	1.128	0.000
84	1	255	472.500	887.500	2.828	1.128	1.128	0.000
85	1	255	488.500	887.500	2.828	1.128	1.128	0.000
86	3	255	410.833	885.833	5.657	2.365	1.615	135.000
87	6	255	425.167	884.667	14.142	4.702	1.625	51.711
88	1	255	446.500	886.500	2.828	1.128	1.128	0.000
89	1	255	449.500	886.500	2.828	1.128	1.128	0.000
90	1	255	453.500	886.500	2.828	1.128	1.128	0.000
91	1	255	484.500	886.500	2.828	1.128	1.128	0.000
92	1	255	400.500	885.500	2.828	1.128	1.128	0.000
93	1	255	418.500	885.500	2.828	1.128	1.128	0.000
94	1	255	420.500	885.500	2.828	1.128	1.128	0.000
95	39	255	381.295	877.885	38.284	10.928	4.544	93.752
96	2	255	415.500	884.000	4.828	2.257	1.128	90.000
97	1	255	429.500	884.500	2.828	1.128	1.128	0.000
98	1	255	433.500	884.500	2.828	1.128	1.128	0.000
99	4	255	438.000	884.000	11.314	3.387	1.504	166.717
100	1	255	441.500	884.500	2.828	1.128	1.128	0.000
101	4	255	393.250	882.750	7.657	3.192	1.596	161.565
102	3	255	405.500	882.500	6.828	3.385	1.128	90.000
103	2	255	410.500	883.000	4.828	2.257	1.128	90.000
104	1	255	426.500	883.500	2.828	1.128	1.128	0.000
105	3	255	430.500	882.833	7.071	3.213	1.189	28.155
106	3	255	454.167	882.833	5.657	2.365	1.615	45.000
107	1	255	433.500	882.500	2.828	1.128	1.128	0.000
108	5	255	402.100	880.700	7.657	3.144	2.025	108.435
