 	Area	Mean	XM	YM	Perim.	Major	Minor	Angle
1	21	255	123.690	901.214	21.556	7.251	3.687	172.142
2	49	255	544.561	837.398	30.627	9.176	6.799	97.309
3	26	255	655.038	839.231	17.556	6.025	5.494	133.212
4	65	255	96.069	692.131	28.971	10.131	8.169	177.145
5	67	255	413.172	690.381	45.698	10.190	8.372	12.079
6	72	255	1039.167	605.208	30.385	10.503	8.729	14.998
7	184	255	1133.962	518.560	54.527	17.571	13.333	151.495
8	95	255	1119.384	428.784	35.213	11.538	10.484	141.311
9	66	255	292.409	392.015	41.698	10.817	7.768	56.427
10	55	255	322.264	340.936	38.627	10.454	6.699	100.130
11	57	255	374.974	334.184	32.627	9.270	7.829	66.467
12	69	255	401.949	284.862	35.213	10.434	8.420	8.881
13	193	255	189.842	271.158	61.598	16.383	14.999	62.805
14	70	255	881.029	230.914	31.213	10.637	8.379	74.516
15	70	255	640.086	206.443	36.627	10.612	8.399	139.211
16	82	255	542.293	180.732	32.627	11.627	8.980	152.529
17	81	255	319.846	87.747	34.042	10.808	9.542	79.442
18	89	255	273.399	29.455	34.042	12.154	9.323	179.932
19	9	255	291.722	31.056	11.314	3.642	3.146	26.565
