 	Area	Mean	XM	YM	Perim.	Major	Minor	Angle
1	33	255	934.561	901.197	23.899	9.803	4.286	175.164
2	85	255	342.629	886.135	33.799	12.048	8.983	102.832
3	67	255	35.963	880.515	29.799	10.358	8.236	170.937
4	57	255	66.991	878.605	28.627	9.835	7.380	152.398
5	174	255	32.713	871.443	52.284	20.828	10.637	158.533
6	136	255	701.588	850.654	45.113	17.032	10.167	131.053
7	80	255	1031.975	849.112	33.456	11.920	8.545	48.812
8	88	255	1086.500	845.000	33.799	12.446	9.003	75.840
9	55	255	695.700	842.882	31.456	9.940	7.045	144.568
10	48	255	671.229	762.375	29.556	9.500	6.433	154.053
11	66	255	640.121	760.348	28.971	9.567	8.784	73.765
12	65	255	613.731	721.300	30.385	10.206	8.109	104.662
13	86	255	220.477	712.023	33.799	11.576	9.459	20.962
14	85	255	500.535	697.747	33.799	12.391	8.734	71.436
15	93	255	767.543	620.081	34.971	12.366	9.576	87.820
16	97	255	685.294	614.376	36.385	12.541	9.848	48.313
17	101	255	460.510	603.243	37.456	13.193	9.747	32.000
18	56	255	1157.321	596.054	30.042	10.036	7.105	136.588
19	79	255	1081.095	586.576	32.627	11.345	8.866	124.687
20	71	255	598.613	566.359	30.385	10.177	8.882	36.495
21	100	255	260.430	513.670	36.042	12.323	10.332	118.223
22	62	255	661.403	509.145	28.728	10.507	7.513	89.765
23	73	255	566.185	508.486	30.971	10.090	9.212	19.546
24	101	255	250.975	506.569	36.627	11.640	11.048	166.623
25	83	255	162.259	502.175	33.213	11.469	9.214	32.297
26	89	255	361.826	493.107	34.042	11.382	9.956	133.400
27	86	255	353.372	487.547	36.284	10.621	10.309	133.281
28	94	255	1173.255	487.628	34.627	12.051	9.932	3.717
29	72	255	1215.375	488.875	39.456	11.139	8.230	172.186
30	92	255	360.348	479.891	36.042	12.154	9.638	24.285
31	62	255	66.065	479.226	28.385	10.275	7.683	65.275
32	84	255	927.702	472.202	33.799	12.264	8.721	74.833
33	79	255	956.576	470.348	32.385	11.496	8.750	25.162
34	31	255	747.435	464.919	19.556	7.014	5.628	36.479
35	63	255	859.929	457.992	34.042	10.722	7.481	25.766
36	104	255	969.077	449.904	36.870	13.669	9.687	138.681
37	85	255	781.829	448.688	34.385	11.708	9.244	119.881
38	96	255	225.177	423.146	40.042	12.774	9.569	108.032
39	283	255	974.995	419.843	81.983	20.071	17.953	172.070
40	76	255	998.921	418.921	31.213	11.112	8.708	135.000
41	2	255	596.000	410.500	4.243	2.257	1.128	0.000
42	45	255	593.678	406.767	26.385	10.109	5.668	2.105
43	64	255	424.031	389.891	28.971	10.973	7.426	25.471
44	69	255	341.572	365.167	29.799	10.003	8.783	59.572
45	49	255	919.847	348.173	26.142	9.427	6.618	86.558
46	71	255	161.317	346.444	30.971	11.181	8.085	101.666
47	72	255	1158.597	300.958	30.385	10.698	8.569	118.503
48	10	255	112.300	294.500	11.899	5.306	2.399	154.330
49	100	255	512.130	271.190	36.284	12.528	10.163	142.852
50	66	255	148.000	261.136	28.971	9.945	8.450	90.000
51	67	255	1076.261	249.097	29.799	10.403	8.200	62.923
52	243	255	631.895	241.265	64.770	19.021	16.266	13.295
53	184	255	286.511	241.620	58.184	16.927	13.840	81.611
54	69	255	1108.007	246.196	30.627	9.459	9.287	99.681
55	67	255	1147.858	244.784	28.971	10.215	8.351	77.887
56	61	255	794.270	210.336	28.142	9.717	7.993	20.283
57	77	255	255.591	197.266	31.799	11.451	8.562	119.710
58	85	255	239.653	146.512	33.556	11.687	9.260	175.135
59	2	255	1062.000	131.500	4.243	2.257	1.128	0.000
60	56	255	224.143	103.464	27.213	8.572	8.318	35.656
61	94	255	611.394	84.468	35.213	12.000	9.974	54.236
62	74	255	189.176	75.378	33.456	10.724	8.786	66.552
63	59	255	1219.110	41.127	32.627	8.920	8.421	39.926
64	78	255	645.115	36.628	31.213	10.037	9.895	175.234
65	51	255	1111.520	30.382	28.627	8.726	7.442	148.924
66	3	255	95.500	-0.500	6.243	3.385	1.128	0.000
