 	Area	Mean	XM	YM	Perim.	Major	Minor	Angle
1	210	255	363.124	896.905	59.456	19.633	13.619	15.601
2	57	255	459.044	860.623	29.799	10.062	7.213	79.667
3	110	255	623.309	848.300	38.627	13.551	10.336	68.520
4	176	255	1101.131	830.625	49.456	16.194	13.838	15.347
5	5	255	168.300	818.300	8.485	3.833	1.661	135.000
6	135	255	923.181	805.870	43.456	14.027	12.254	26.655
7	54	255	401.093	789.704	33.456	9.650	7.125	10.583
8	73	255	525.212	780.116	31.213	11.618	8.000	117.034
9	105	255	601.652	771.881	37.456	12.091	11.057	149.846
10	65	255	502.238	768.946	30.385	10.783	7.675	119.617
11	215	255	494.263	763.230	57.355	21.467	12.752	134.080
12	89	255	375.567	764.534	34.042	11.235	10.086	6.196
13	174	255	298.402	722.098	54.527	15.488	14.304	4.600
14	105	255	323.567	709.919	38.042	13.748	9.724	48.710
15	58	255	404.397	673.828	28.971	10.555	6.997	145.259
16	1	255	410.500	675.500	2.828	1.128	1.128	0.000
17	70	255	214.200	655.386	30.627	10.473	8.510	113.768
18	208	255	1063.721	641.639	60.770	20.705	12.791	46.363
19	43	255	1071.663	636.942	25.556	8.727	6.273	80.032
20	5	255	1223.500	623.500	10.828	5.642	1.128	90.000
21	50	255	215.560	607.360	25.556	8.924	7.134	12.565
22	102	255	194.108	570.382	37.213	13.341	9.735	3.015
23	114	255	538.579	554.842	39.456	13.861	10.472	40.127
24	9	255	975.500	549.500	9.657	3.385	3.385	0.000
25	94	255	1053.287	541.681	36.042	12.198	9.812	47.570
26	43	255	78.244	525.337	26.971	8.988	6.091	156.075
27	80	255	559.862	489.300	31.799	10.575	9.632	10.825
28	63	255	926.262	429.468	28.971	9.549	8.400	105.675
29	120	255	1086.042	394.025	40.870	14.599	10.466	29.081
30	91	255	833.005	337.874	35.213	12.791	9.059	67.626
31	122	255	739.049	301.844	40.284	13.795	11.261	32.099
32	63	255	42.325	297.341	29.213	9.640	8.321	3.763
33	60	255	378.450	291.567	28.971	10.266	7.441	4.270
34	88	255	38.159	288.898	43.456	13.595	8.241	157.911
35	42	255	48.452	289.571	22.728	7.796	6.860	48.831
36	84	255	788.500	265.738	33.213	12.360	8.653	143.875
37	98	255	91.643	260.622	37.213	13.074	9.544	78.458
38	95	255	1161.574	234.521	36.627	11.688	10.349	13.203
39	83	255	196.777	219.729	33.213	11.936	8.854	174.833
40	90	255	701.856	214.811	34.971	12.602	9.093	9.821
41	86	255	836.965	185.535	33.799	11.053	9.907	111.458
42	64	255	398.047	162.281	31.799	9.496	8.581	114.047
43	2	255	403.500	162.000	4.828	2.257	1.128	90.000
44	81	255	189.241	156.833	32.385	10.978	9.394	131.447
45	74	255	57.770	155.568	30.971	11.521	8.178	78.024
46	86	255	471.674	151.442	34.627	11.976	9.143	93.862
47	63	255	232.627	148.738	28.385	9.978	8.039	38.878
48	57	255	1034.430	134.114	36.870	8.750	8.295	44.817
49	43	255	818.849	133.988	24.142	8.989	6.091	156.561
50	72	255	808.625	129.250	32.385	11.501	7.971	86.141
51	70	255	1024.700	128.700	30.385	10.312	8.643	173.947
52	71	255	816.430	124.063	33.213	11.114	8.134	94.618
53	67	255	220.634	105.485	39.456	10.116	8.433	53.941
54	81	255	965.031	99.241	33.213	11.193	9.214	134.811
55	133	255	1156.816	95.643	43.941	15.340	11.039	42.535
56	62	255	331.935	85.177	29.213	9.706	8.133	146.536
57	96	255	530.156	70.885	36.627	12.671	9.647	24.294
58	144	255	1021.583	37.062	47.113	14.696	12.476	32.852
59	64	255	835.562	1.844	31.556	12.042	6.767	173.940
60	61	255	1206.352	1.680	30.728	12.205	6.364	3.786
