 	Area	Mean	XM	YM	Perim.	Major	Minor	Angle
1	26	255	986.115	901.385	20.728	8.381	3.950	4.572
2	84	255	244.238	893.976	33.456	11.191	9.557	76.350
3	57	255	1100.009	892.079	27.799	9.745	7.447	163.811
4	65	255	18.915	873.469	31.213	9.921	8.342	147.584
5	70	255	828.200	849.400	30.627	10.319	8.638	159.809
6	64	255	1200.312	833.297	29.556	10.211	7.980	86.343
7	54	255	981.537	832.074	32.870	9.459	7.269	13.528
8	2	255	984.000	836.500	4.243	2.257	1.128	0.000
9	115	255	325.830	786.500	38.042	13.341	10.975	160.882
10	102	255	660.000	767.588	37.213	12.654	10.263	147.833
11	83	255	1126.367	750.247	33.799	11.054	9.560	88.181
12	54	255	910.426	723.722	26.385	8.834	7.783	1.790
13	64	255	1162.703	713.672	28.627	9.660	8.436	111.986
14	58	255	508.190	710.897	27.556	9.078	8.135	167.373
15	66	255	430.742	682.924	30.627	10.547	7.967	146.660
16	155	255	425.945	674.513	62.083	19.681	10.028	149.478
17	60	255	689.933	644.033	33.799	9.005	8.484	73.907
18	60	255	504.450	642.900	28.042	9.041	8.450	88.264
19	78	255	793.295	634.167	31.799	11.209	8.860	110.420
20	97	255	509.912	619.304	45.698	12.843	9.617	67.504
21	58	255	972.414	527.966	28.385	9.902	7.458	147.712
22	58	255	1080.069	527.759	26.971	8.741	8.449	63.061
23	53	255	2.745	523.349	27.314	10.559	6.391	81.939
24	103	255	853.228	520.413	36.627	13.050	10.049	98.431
25	47	255	1201.670	519.755	28.385	8.751	6.838	142.640
26	89	255	611.197	518.433	34.385	11.961	9.474	59.873
27	89	255	1004.388	507.893	33.213	11.711	9.676	148.867
28	58	255	798.879	461.690	38.627	9.472	7.796	123.408
29	46	255	1027.565	445.196	28.627	9.442	6.203	177.575
30	50	255	231.300	427.620	29.213	9.917	6.420	170.779
31	142	255	768.986	350.254	62.184	14.216	12.718	57.337
32	62	255	648.484	349.419	41.113	9.484	8.324	162.530
33	97	255	936.820	293.211	35.456	12.353	9.998	36.242
34	219	255	1215.779	283.792	64.770	18.044	15.453	59.706
35	81	255	586.426	284.414	32.385	11.505	8.964	175.568
36	66	255	774.924	268.015	29.556	10.573	7.948	113.944
37	36	255	521.000	255.500	20.728	7.227	6.342	110.301
38	71	255	1156.415	242.401	30.627	11.194	8.076	22.473
39	78	255	891.615	232.821	38.870	10.888	9.121	5.948
40	79	255	1158.234	226.006	43.113	11.680	8.611	125.514
41	67	255	92.590	195.366	34.042	9.303	9.170	80.362
42	75	255	351.727	181.033	31.799	10.923	8.742	88.070
43	52	255	343.788	177.538	26.142	9.062	7.306	93.931
44	5	255	1223.100	175.100	9.657	4.076	1.562	110.994
45	46	255	350.522	171.478	26.971	9.354	6.261	22.779
46	58	255	1143.293	161.707	27.213	9.087	8.127	134.998
47	93	255	313.919	156.005	37.799	11.657	10.158	168.712
48	78	255	431.282	132.705	33.799	12.566	7.903	51.794
49	260	255	986.473	99.538	85.983	18.870	17.544	10.027
50	87	255	312.144	98.546	33.799	11.881	9.324	114.760
51	73	255	26.267	91.240	31.213	9.915	9.374	68.283
52	33	255	884.894	80.227	34.042	6.846	6.138	169.800
53	98	255	321.235	75.235	36.042	12.581	9.918	108.669
54	79	255	208.006	61.234	33.456	11.799	8.525	36.818
55	92	255	1097.902	41.196	35.213	12.221	9.585	100.657
56	64	255	425.453	32.734	28.385	9.163	8.893	40.067
57	88	255	688.398	14.227	33.799	11.078	10.115	10.067
